收盤價_TW	成交量_TW	週轉率_TW	本益比_TW	股價淨值比_TW
6750.54	153904	30.3961	29.02	2.09
6522.19	167161	31.9469	28.33	2.02
6117.81	130761	25.0836	26.89	1.91
5977.84	84575	15.6421	25.54	1.86
5839.44	68162	12.3571	16.15	1.66
5420.57	56302	9.9114	14.88	1.53
5765.54	57480	10.5122	15.81	1.64
5845.69	80745	14.9281	15.91	1.66
5705.93	76859	14.4071	13.37	1.63
5844.76	68653	12.8104	13.66	1.68
6139.69	70464	11.7393	13.24	1.7
5994.23	61253	9.875	13.05	1.66
6207.83	48442	8.3848	13.61	1.75
6005.88	72958	12.4937	13.23	1.7
5818.07	51618	8.6381	12.82	1.65
6011.56	54858	9.1863	13.25	1.7
6241.94	83455	14.6709	14.98	1.67
6311.98	76705	13.0297	15.16	1.69
6033.47	67143	10.4004	14.45	1.63
6118.61	55620	8.341	14.69	1.65
5764.3	58917	8.8328	15.71	1.62
6203.47	68645	10.0993	16.93	1.75
6548.34	92101	14.1232	17.99	1.76
6532.18	79106	12.0077	17.98	1.75
6561.63	54903	8.5548	17.97	1.77
6613.97	60603	9.5844	18.24	1.78
7171.77	80042	13.1228	19.6	1.94
6846.95	97546	16.5569	18.7	1.86
6704.41	68741	10.4396	18.27	1.66
6454.58	56570	7.7592	17.73	1.59
6611.77	64185	8.6679	18.19	1.63
6883.05	58871	8.1246	18.38	1.71
7021.32	69572	10.0367	17.72	1.83
7567.72	99843	14.9552	18.97	1.97
7823.72	100691	15.2135	20.01	1.98
7699.64	97075	14.1158	19.72	1.95
7901.96	38556	5.5071	20.16	2
7884.41	88087	13.1654	20.06	2.01
7875.42	84888	12.7153	20.18	2.02
8144.95	73360	10.736	20.68	2.08
8883.21	100699	15.0227	20.99	2.05
9287.25	176157	26.1677	21.99	2.15
8982.16	118550	16.3099	21.29	2.08
9476.52	83249	11.3758	21.95	2.22
9711.37	116497	14.8658	19.92	2.34
8586.4	101552	12.1435	17.64	2.08
8506.28	82535	9.4884	16.02	1.96
7521.13	111293	14.0735	14.23	1.74
8412.76	67344	8.6871	15.9	1.92
8572.59	119726	15.6858	16.21	1.95
8919.92	120457	15.3726	16.8	2.04
8619.08	110685	13.6003	16.14	1.98
7523.54	82626	9.1362	13.02	1.66
7024.06	93175	11.2979	12.17	1.55
7046.11	79259	9.2843	12.16	1.56
5719.28	81720	10.5609	9.9	1.27
4870.66	67477	9.1249	8.69	1.17
4460.49	68970	9.4914	7.93	1.07
4591.22	87825	12.164	9.47	1.09
4247.97	46110	6.5862	8.75	1.01
4557.15	65251	9.8668	9.4	1.08
5210.84	117342	18.8588	10.53	1.21
5992.57	150439	24.5169	12.12	1.4
6890.44	141280	23.2396	13.86	1.61
6432.16	109065	17.5973	41.5	1.54
7077.71	111493	17.7255	45.42	1.7
6825.95	79139	12.4353	42.64	1.64
7509.17	93097	14.5301	45.06	1.81
7340.08	99914	15.4854	71.58	1.8
7582.21	81761	12.4369	92.73	1.86
8188.11	103512	15.5969	82.51	1.91
7640.44	106406	16.0769	86.83	1.82
7436.1	47227	6.651	85.17	1.77
7920.06	80928	11.5696	74.07	1.92
8004.25	91213	12.937	66.9	1.91
7373.98	73264	10.0946	54.41	1.78
7329.37	62760	8.4054	16.57	1.61
