"AdjClose.priceSS" "AdjClose.priceSZSA"
"100" 1777.83 NA
"101" 1824.74 NA
"102" 1832.07 NA
"103" 1855.49 NA
"104" 1880.7 NA
"105" 1879.62 NA
"106" 1898.75 NA
"107" 1877.47 NA
"108" 1894.55 NA
"109" 1903.49 NA
"110" 1916.25 NA
"111" 1899.09 NA
"112" 1925.54 NA
"113" 1935.03 NA
"114" 1925.21 NA
"115" 1900.79 NA
"116" 1912.56 NA
"117" 1938.67 NA
"118" 1932.29 NA
"119" 1942.29 NA
"120" 1926.94 NA
"121" 1915.2 NA
"122" 1895.35 NA
"123" 1913.13 NA
"124" 1913.9 NA
"125" 1939.63 NA
"126" 1948.64 NA
"127" 1942.9 NA
"128" 1947.48 NA
"129" 1937.26 NA
"130" 1928.11 NA
"131" 1895.64 NA
"132" 1907.93 NA
"133" 1909.19 NA
"134" 1902.55 NA
"135" 1932.79 NA
"136" 1948.02 NA
"137" 1960.54 NA
"138" 1973.37 NA
"139" 1979.2 NA
"140" 1987.19 NA
"141" 1982.48 NA
"142" 1993.99 NA
"143" 1998.43 NA
"144" 1991.56 NA
"145" 1996.34 NA
"146" 1989.24 NA
"147" 1996.58 NA
"148" 2012.32 NA
"149" 2012.35 NA
"150" 2012.79 NA
"151" 2023.54 NA
"152" 2028.15 NA
"153" 2030.68 NA
"154" 2036.3 NA
"155" 2026.36 NA
"156" 2039.42 NA
"157" 2049.92 NA
"158" 2061.18 NA
"159" 2065.94 NA
"160" 2062.67 NA
"161" 2076.3 NA
"162" 2076.82 NA
"163" 2083.47 NA
"164" 2091.59 NA
"165" 2090.18 NA
"166" 2108.69 NA
"167" 2074.7 NA
"168" 2057.92 NA
"169" 2071.16 NA
"170" 2086.7 NA
"171" 2100.58 NA
"172" 2105.48 NA
"173" 2076.14 NA
"174" 2021.2 NA
"175" 1999.86 NA
"176" 2010.6 NA
"177" 1963.79 NA
"178" 1925.91 NA
"179" 1950.66 NA
"180" 1959.31 NA
"181" 1972.04 NA
"182" 1979.09 NA
"183" 1988.94 NA
"184" 1979.51 NA
"185" 1978.43 NA
"186" 1946.75 NA
"187" 1903.15 NA
"188" 1922.29 NA
"189" 1907.31 NA
"190" 1891.98 NA
"191" 1875.91 NA
"192" 1887.83 NA
"193" 1914.09 NA
"194" 1889.29 NA
"195" 1910.16 NA
"196" 1910.16 NA
"197" 1910.16 NA
"198" 1910.16 NA
"199" 1910.16 NA
"200" 1910.16 NA
"201" 1915.35 NA
"202" 1942.15 NA
"203" 1933.73 NA
"204" 1926.32 NA
"205" 1918.16 NA
"206" 1902.81 NA
"207" 1909.49 NA
"208" 1922.84 NA
"209" 1913.42 NA
"210" 1947.45 NA
"211" 1958.94 NA
"212" 1956.34 NA
"213" 1977.25 NA
"214" 1967.67 NA
"215" 1967.41 NA
"216" 1973.58 NA
"217" 1961.29 NA
"218" 1977.36 NA
"219" 1984.26 NA
"220" 1981.63 NA
"221" 1991.17 NA
"222" 1997.08 NA
"223" 2012.91 NA
"224" 2032.48 NA
"225" 2047.46 NA
"226" 2070.79 NA
"227" 2085.12 NA
"228" 2081.91 NA
"229" 2095.98 NA
"230" 2093.24 NA
"231" 2101.39 NA
"232" 2097.98 NA
"233" 2113.3 NA
"234" 2119.44 NA
"235" 2053.37 NA
"236" 2049.67 NA
"237" 2079.4 NA
"238" 2067.5 NA
"239" 2070.61 NA
"240" 2081.84 NA
"241" 2092.14 NA
"242" 2091.67 NA
"243" 2075.63 NA
"244" 2075.04 NA
"245" 2073.16 NA
"246" 2046.08 NA
"247" 2059.05 NA
"248" 2056.12 NA
"249" 2051.08 NA
"250" 2039.36 NA
"251" 2044.55 NA
"252" 2049.03 NA
"253" 2071.27 NA
"254" 2076.89 NA
"255" 2069.77 NA
"256" 2068.17 NA
"257" 2076.27 NA
"258" 2058.24 NA
"259" 2053.7 NA
"260" 2073.48 NA
