收盤價	成交量	週轉率	市值比重 本益比	股價淨值比
62.95	249568	0.9631	7.944	11.8	3.38
61.42	388619	1.4997	7.912	11.52	3.3
64.03	198970	0.7678	8.055	12.01	3.44
63.58	203581	0.7856	7.911	11.92	3.41
65.56	225440	0.8699	7.983	12.29	3.52
62.23	242446	0.9356	7.731	11.09	3.34
63.76	194472	0.7504	7.7	11.36	3.42
65.83	290544	1.1212	7.916	11.73	3.54
67.45	227943	0.8796	8.133	11.83	3.62
68.25	250494	0.9666	8.204	11.97	3.67
67.89	195595	0.7548	8.318	11.91	3.65
66.55	216571	0.8357	8.18	11.67	3.57
69.42	240625	0.9285	8.298	12.18	3.29
67.71	191991	0.7409	8.284	11.88	3.21
66.73	372230	1.4364	8.353	11.7	3.16
65.56	278155	1.0734	8.305	11.5	3.11
68.29	350836	1.3538	8.094	11.48	3.1
68.01	227488	0.8778	8.05	11.44	3.09
65.57	304763	1.176	7.92	11.03	2.98
67.54	225218	0.8691	7.974	11.36	3.07
67.54	228172	0.8805	8.077	11.36	3.07
62.48	255479	0.9859	8.212	10.5	2.84
61.07	442103	1.706	8.258	10.27	2.78
59.94	237739	0.9174	8.428	10.08	2.73
63.7	214796	0.8289	8.834	10.71	2.9
63.32	213140	0.8225	8.424	10.94	2.88
65.01	212277	0.8191	8.823	11.23	2.96
66.7	218642	0.8437	9.085	11.52	3.03
63.32	284454	1.0976	9.303	10.94	2.88
65.67	265664	1.0251	9.561	11.35	2.99
64.82	212074	0.8183	9.419	11.2	3.18
65.95	194633	0.751	9.392	11.39	3.23
65.95	142447	0.5497	9.525	11.39	3.23
68.57	251873	0.9719	9.432	11.85	3.36
69.98	219605	0.8474	9.615	13.49	3.43
68.85	148719	0.5739	9.755	13.27	3.37
69.61	232282	0.8963	10.043	13.42	3.41
67.17	200806	0.7749	10.398	12.95	3.29
71.29	243067	0.9379	10.199	13.74	3.29
69.51	187942	0.7252	10.301	13.4	3.21
68.2	147791	0.5703	10.27	13.15	3.15
70.73	163040	0.6291	10.166	13.63	3.26
71.11	103098	0.3978	10.275	13.71	3.28
70.92	128495	0.4958	10.16	13.67	3.27
72.7	247293	0.9542	10.323	14.01	3.36
71.95	138888	0.5359	10.142	13.87	3.32
71.76	409075	1.5784	9.408	13.83	3.31
72.14	231463	0.8931	9.306	13.91	3.33
75.05	288912	1.1148	9.643	14.47	3.46
74.2	202092	0.7798	9.457	14.3	3.42
74.39	130833	0.5048	9.297	14.34	3.43
75.05	140638	0.5426	9.49	14.47	3.46
76.08	200219	0.7725	9.576	15.66	3.51
80.11	211349	0.8155	10.057	16.49	3.7
79.64	220570	0.8509	10.178	16.39	3.68
78.61	136755	0.5276	10.341	16.18	3.63
79.64	181602	0.7006	10.365	16.39	3.68
79.08	142928	0.5514	10.679	16.27	3.65
80.67	243197	0.9382	10.934	16.6	3.72
82.18	161345	0.6225	10.806	17.28	3.79
80.21	197332	0.7613	10.974	16.86	3.7
76.73	201624	0.7778	10.867	16.13	3.54
75.05	198925	0.7674	10.747	15.78	3.46
74.95	303318	1.1702	10.66	15.76	3.13
73.08	221028	0.8527	10.55	15.36	3.06
73.26	232261	0.896	10.346	15.4	3.06
75.14	156155	0.6024	10.513	15.8	3.14
76.27	199981	0.7715	10.562	16.04	3.19
78.69	236192	0.9112	10.401	15.96	3.17
73.73	263168	1.0153	10.107	14.95	2.97
74.61	244630	0.9438	10.142	15.13	3.01
77.14	290606	1.1211	10.548	15.64	3.11
77.62	210456	0.8119	10.458	15.74	3.13
79.76	223170	0.861	10.422	16.17	3.22
79.76	149512	0.5768	10.353	16.17	3.22
79.76	144420	0.5572	10.339	16.17	3.22
81.03	136200	0.5254	10.615	15.72	3.27
81.51	156175	0.6025	10.639	15.81	3.29
84.14	174043	0.6714	10.537	16.32	3.39
83.36	183984	0.7098	10.422	16.17	3.36
87.35	229813	0.8866	10.978	16.94	3.52
88.52	188453	0.727	11.146	17.17	3.76
83.95	204620	0.7894	10.925	16.28	3.57
84.34	136230	0.5255	11.018	16.36	3.58
84.92	175353	0.6765	11.521	16.47	3.61
87.45	169256	0.6529	11.758	14.93	3.71
88.32	158428	0.6112	11.752	15.08	3.75
87.74	161716	0.6238	11.942	14.98	3.73
92.9	160846	0.6205	12.316	15.86	3.95
96.01	287558	1.1092	12.299	16.4	4.08
95.42	218294	0.8421	12.095	16.3	3.77
95.72	193504	0.7464	12.041	16.35	3.78
93.09	188692	0.7279	11.957	15.9	3.68
94.35	95187	0.3672	11.858	16.11	3.73
98.73	124485	0.4802	12.21	16.86	3.9
98.25	164192	0.6333	12.128	16.78	3.88
98.73	185487	0.7155	12.316	16.86	3.9
96.3	159406	0.6149	12.107	16.45	3.8
98.73	159814	0.6164	12.068	16.86	3.9
102.14	85483	0.3297	12.403	17.44	4.04
104.08	208674	0.8049	12.52	17.77	4.11
102.14	192154	0.7412	12.292	16.38	4.04
100.68	216325	0.8344	12.038	16.15	3.98
100.19	192813	0.7437	12.11	16.07	3.96
95.33	262382	1.012	11.715	15.29	3.77
97.76	131220	0.5061	11.83	15.68	3.86
97.76	65806	0.2538	11.79	15.68	3.86
97.76	213866	0.8248	11.965	15.68	3.86
103.6	195290	0.7532	12.504	16.61	4.09
105.54	217208	0.8377	12.596	16.93	4.17
107	131123	0.5057	12.57	17.16	4.23
111.38	139494	0.538	12.848	17.86	4.4
110.4	140312	0.5412	12.603	17.09	4.36
106.51	141799	0.5469	12.395	16.49	4.21
106.51	132032	0.5092	12.325	16.49	4.21
105.54	156229	0.6025	12.453	16.34	3.66
103.11	161370	0.6224	12.404	15.96	3.58
100.68	146618	0.5655	12.336	15.59	3.49
107.97	265351	1.0234	12.787	16.72	3.74
109	194434	0.7499	12.644	16.42	3.68
110	178329	0.6878	12.421	16.57	3.71
98.2	286009	1.1031	11.3	14.79	3.31
102.5	301376	1.1623	11.668	15.44	3.46
100.5	169753	0.6547	11.503	15.14	3.39
96.4	215195	0.83	11.381	14.52	3.25
96.5	192256	0.7415	11.293	13.73	3.26
97	199298	0.7687	11.424	13.8	3.27
100.5	170512	0.6576	11.614	14.3	3.39
102	151159	0.583	11.602	14.51	3.44
102.5	173547	0.6693	11.678	14.58	3.46
103	101148	0.3901	11.635	14.65	3.47
103	170969	0.6594	11.602	14.65	3.47
104	156686	0.6043	11.499	14.79	3.61
106.5	145171	0.5599	11.797	15.15	3.7
110	147871	0.5703	12.059	15.65	3.82
107	163037	0.6288	11.866	15.22	3.72
109.5	93510	0.3606	12.069	15.58	3.8
106	96370	0.3717	11.909	15.08	3.68
104	130031	0.5015	11.768	14.59	3.61
100	220643	0.851	11.332	14.03	3.47
105	158458	0.6111	11.481	14.73	3.65
103	120052	0.463	11.292	14.45	3.32
102.5	118355	0.4565	11.229	14.38	3.3
102	176550	0.6809	11.136	14.31	3.29
104.5	83191	0.3208	11.235	14.66	3.37
105.5	68764	0.2652	11.239	14.8	3.4
102.5	56294	0.2171	10.938	14.38	3.3
102	173978	0.671	10.906	14.31	3.29
107.5	203625	0.7853	11.487	15.08	3.47
108	140515	0.5419	11.537	15.15	3.48
105	65271	0.2517	11.389	14.73	3.39
104	275224	1.0615	11.303	14.59	3.35
107.5	137436	0.5301	11.506	15.08	3.47
107.5	145519	0.5612	11.4	15.08	3.47
108	150743	0.5814	11.402	14.88	3.48
114.5	306394	1.1817	11.966	15.77	3.69
115	192213	0.7413	12.055	15.84	3.71
112.5	213615	0.8238	11.946	15.5	3.63
117.5	188106	0.7255	12.197	16.18	3.79
118.5	168467	0.6497	12.133	16.32	3.82
120	180860	0.6975	12.26	16.53	3.87
123	180865	0.6975	12.479	16.94	3.97
118.5	160517	0.6191	12.283	16.32	3.82
118	139034	0.5362	12.086	16.25	3.8
120	143073	0.5518	12.253	16.53	3.87
122	139491	0.538	12.459	16.09	3.93
122	128565	0.4958	12.295	16.09	3.93
119.5	188148	0.7256	11.947	15.77	3.85
122.5	112848	0.4352	12.147	16.16	3.54
123	113881	0.4392	12.115	16.23	3.55
124.5	129210	0.4983	12.17	16.42	3.59
125.5	170799	0.6587	12.212	16.56	3.62
135	208542	0.8043	12.849	17.81	3.9
