收盤價	成交量	週轉率	市值比重 本益比	股價淨值比
21.6	518516	2.7843	9.769	40.09	2.99
21.37	468092	2.5135	9.505	39.66	2.96
20.9	267309	1.4354	9.356	35.43	2.9
23.69	460459	2.4725	9.848	40.16	3.28
22.48	287285	1.5426	9.343	38.11	3.12
23.23	281052	1.5092	9.857	39.37	3.22
23.46	293378	1.5754	10.09	39.76	3.25
23.92	235298	1.2635	10.138	40.55	3.27
22.62	241120	1.2948	9.975	38.35	3.09
21.37	239098	1.2839	9.498	36.22	2.92
21.14	108289	0.5815	9.424	35.83	2.89
19.79	51304	0.2755	8.895	33.54	2.7
20.81	56116	0.3013	8.902	35.28	2.84
21.92	193320	1.0381	8.93	37.17	2.99
22.67	311474	1.6725	9.131	38.43	3.1
22.95	227237	1.2202	8.972	38.9	3.13
22.16	85733	0.4604	8.736	37.56	3.03
19.51	159672	0.8574	8.122	33.07	2.66
19.04	236472	1.2698	8.355	32.28	2.6
20.86	240144	1.2895	9.038	35.35	2.85
19.51	140875	0.7565	8.673	33.07	2.66
19.32	155365	0.8343	8.734	32.76	2.64
21.14	239098	1.2839	9.286	35.83	2.89
22.53	357934	1.922	9.659	38.19	3.08
20.62	288665	1.5501	9.062	34.96	2.82
21	249256	1.3384	9.175	35.59	2.87
20.81	180875	0.9713	9.026	35.28	2.84
22.06	273486	1.4685	9.308	37.4	3.01
21.14	302891	1.6264	9.812	35.83	2.89
22.44	367558	1.9737	10.526	46.44	3.06
22.06	212933	1.1434	10.232	45.67	3.01
22.67	226829	1.218	10.415	46.92	3.1
22.81	213551	1.1467	10.323	47.21	3.11
24.85	341259	1.8325	10.739	51.44	3.39
27.17	300120	1.6116	11.267	56.25	3.63
26.48	291617	1.5659	10.661	54.81	3.54
27.17	237566	1.2757	10.673	56.25	3.63
26.48	154719	0.8308	10.662	54.81	3.54
28.8	209619	1.1256	10.968	59.62	3.85
29.03	278581	1.3746	10.873	59.9	3.89
29.28	186326	0.9194	10.868	60.42	3.92
28.78	213852	1.0552	10.45	59.38	3.85
30.29	240710	1.1877	10.991	62.5	4.05
29.28	176966	0.8732	10.936	60.42	3.92
30.8	207403	1.0234	10.959	63.54	4.12
32.31	240064	1.1845	11.182	66.67	4.33
33.83	266453	1.3147	11.635	62.04	4.53
34.33	143613	0.7086	11.823	62.96	4.6
34.33	192505	0.9499	11.807	62.96	4.6
34.84	222847	1.0996	11.766	63.89	4.66
33.32	160786	0.7934	11.476	61.11	4.46
35.34	137313	0.6775	11.852	64.81	4.76
34.84	153238	0.7561	11.418	63.89	4.69
34.33	175229	0.8646	10.93	62.96	4.62
32.57	246507	1.2163	10.565	59.72	4.38
33.83	194947	0.9619	10.744	62.04	4.55
34.84	162503	0.8018	11.007	41.32	4.69
34.08	206847	1.0206	10.787	40.42	4.59
32.82	173202	0.8546	10.767	38.92	4.42
32.06	134057	0.6615	10.623	38.02	4.31
32.82	138580	0.6838	10.614	38.92	4.21
31.3	261652	1.291	10.194	37.13	4.01
30.29	223127	1.101	10.035	35.93	3.89
31.3	96470	0.476	10.198	37.13	4.01
32.06	98363	0.4853	10.377	38.02	4.11
33.07	55164	0.2722	10.429	39.22	4.24
34.08	182419	0.9001	10.428	40.42	4.37
33.58	131367	0.6482	10.203	39.82	4.31
