T收盤價	T成交量	T週轉率	T本益比	T股價淨值比
5536.42	3322000	0.7928	220.07	1.64
5399.5	3075000	0.7224	214.23	1.59
5445.77	3123000	0.7239	215.89	1.6
5460.53	3707000	0.8839	216.37	1.61
5384.89	2772000	0.6602	212.94	1.58
5316.04	3012000	0.7144	210.36	1.56
5123.04	2677000	0.6344	202.63	1.51
5071.76	2658000	0.6323	200.58	1.49
5153.71	2555000	0.6029	197.48	1.52
4969.32	1796000	0.4172	190.33	1.47
4995.08	2142000	0.5003	194.1	1.47
5047.82	3076000	0.7261	196.29	1.49
5130.8	3189000	0.7605	199.93	1.52
5255.23	4346000	0.9591	205.79	1.56
5377.86	3882000	0.917	210.91	1.6
5388.52	2994000	0.7062	211.61	1.61
5262.01	2482000	0.5844	206.35	1.57
5202.59	2647000	0.6191	204.04	1.55
5416.5	3305000	0.7679	212.96	1.62
5393.01	3452000	0.8141	211.99	1.61
5318.01	3012000	0.7102	208.81	1.58
5250.82	2339000	0.5508	206.07	1.56
5242.11	3247000	0.7682	205.86	1.56
5161.92	2854000	0.6763	202.61	1.54
5043.5	2379000	0.5513	200.89	1.5
5159.23	2657000	0.6193	205.8	1.54
5039.48	2903000	0.6745	200.94	1.5
5045.07	3192000	0.733	201.05	1.51
4855.34	2485000	0.5714	192.81	1.44
4858.44	2501000	0.582	192.44	1.44
5005.04	3422000	0.7839	173.44	1.48
4940.38	2403000	0.5601	171.06	1.46
4916.59	2248000	0.5223	170.14	1.45
4920.89	2233000	0.5041	170.05	1.45
4636.67	2082000	0.4768	159.97	1.37
4572.35	2627000	0.5857	157.54	1.35
4720.73	2566000	0.5846	163.02	1.39
4700.23	2740000	0.6386	162.15	1.39
4851.44	3444000	0.79	167.29	1.43
4852.07	2486000	0.5561	178.44	1.43
4817.93	1974000	0.4587	177.84	1.42
4887.43	2582000	0.6023	180.9	1.45
4931.47	3866000	0.9083	183.13	1.47
4919.02	3177000	0.6942	183.14	1.47
4888	2191000	0.4998	182.25	1.46
4919.26	2456000	0.5673	183.67	1.47
4887.79	1845000	0.4272	182.51	1.46
4956.49	3095000	0.7183	185	1.48
4968.85	2859000	0.6608	185.8	1.49
4935.92	1988000	0.4286	184.58	1.48
4878.85	2218000	0.4962	182.14	1.46
4789.63	2254000	0.4878	178.52	1.43
4800.63	2311000	0.5055	178.95	1.43
4764.94	1933000	0.4211	177.53	1.42
4644.58	1889000	0.4052	145.05	1.41
4588.06	2201000	0.4919	143.3	1.39
4534.15	2287000	0.4987	141.82	1.37
4459.37	2209000	0.4928	139.22	1.35
4533.27	1859000	0.4134	141.8	1.37
4668.01	2775000	0.6042	129.13	1.42
4660.53	2335000	0.5168	128.52	1.42
4647.37	1952000	0.4316	128.11	1.41
4580.17	1855000	0.4171	126.18	1.39
4457.16	1823000	0.4	122.64	1.35
4633.86	2628000	0.5836	127.7	1.41
4482.65	2123000	0.4744	121.73	1.36
4491.31	2079000	0.4637	121.92	1.36
4429.25	1868000	0.413	120.08	1.34
4328.4	1897000	0.3984	117.1	1.31
4286.94	2068000	0.4493	115.74	1.3
4185.95	2541000	0.5416	113.1	1.27
4222.22	2469000	0.5256	114.06	1.28
4208.8	2090000	0.457	113.82	1.27
4191.81	1823000	0.3953	116.75	1.27
4162.77	2008000	0.4458	134.52	1.31
4171.76	2248000	0.4893	134.63	1.31
4075.98	1813000	0.3917	131.33	1.28
4067.79	2187000	0.48	130.92	1.27
3924.04	1767000	0.3835	124.03	1.23
3964.28	2168000	0.4818	125.35	1.24
3947.61	2337000	0.514	124.82	1.23
3850.04	2155000	0.4722	121.82	1.2
3910.98	1926000	0.4217	124.2	1.23
4131.47	2692000	0.5939	131.39	1.3
4223.32	3897000	0.8619	132.17	1.33
4280.81	4254000	0.9229	133.97	1.35
4458.17	5304000	1.1393	139.6	1.41
4463.52	4375000	0.9443	141.35	1.41
4386.46	4877000	1.0749	137.43	1.38
4589.88	5298000	1.1545	149.88	1.45
4574.8	5019000	1.1232	149.25	1.44
4564.06	3659000	0.8029	148.86	1.44
4601.37	4547000	1.0089	150.11	1.45
4554.13	3266000	0.7126	147.96	1.44
4498.73	3541000	0.7809	141.64	1.42
4579.14	3894000	0.8637	144.54	1.45
4500.55	4057000	0.8973	136.84	1.42
4583.68	3670000	0.817	140.18	1.45
4566.1	3020000	0.6723	136.1	1.45
4725.34	4657000	1.0384	141.18	1.5
4757.98	5363000	1.1735	142.28	1.52
4811.01	5135000	1.1297	142.85	1.53
4664.65	4450000	0.9883	138.51	1.49
4676.47	3764000	0.8382	123.67	1.49
4671.77	4824000	1.0581	122.4	1.49
4665.56	4517000	1.0007	122.09	1.49
4813.53	5676000	1.2676	125.79	1.53
4790.61	5392000	1.2022	125.21	1.52
4726.5	3605000	0.8032	123.9	1.51
4653.5	3523000	0.7744	121.77	1.48
4579.45	3620000	0.8033	119.86	1.46
4707.61	3823000	0.8453	123.42	1.5
4723.16	2622000	0.585	124.2	1.51
4677.89	3519000	0.7727	122.95	1.5
4633.03	3022000	0.6658	121.81	1.48
4612.6	3760000	0.8328	119.22	1.48
4646.69	2824000	0.6293	120.21	1.49
4683.18	2405000	0.5368	76.05	1.49
4793.93	4213000	0.9365	77.85	1.52
4727.49	3385000	0.7498	76.79	1.5
4755.4	3179000	0.7112	77.23	1.51
4738.98	3247000	0.7304	69.93	1.5
4823.67	4947000	1.115	71.21	1.53
4755.01	4895000	1.0908	70.05	1.5
4699.41	6050000	1.3819	70.52	1.48
4669.7	4005000	0.9092	69.87	1.47
4588.14	3879000	0.8805	68.72	1.45
4582.05	2521000	0.5643	68.61	1.44
4545.62	2850000	0.6269	68.16	1.43
4535.93	2998000	0.6636	67.91	1.43
4549.23	4268000	0.9619	68.34	1.43
4595.67	6262000	1.4388	55.23	1.44
4572.77	3926000	0.8	54.95	1.43
4544.5	3595000	0.8077	54.65	1.42
4484.43	3054000	0.6908	53.98	1.41
4567.37	2613000	0.5887	55	1.43
4547.32	3178000	0.7219	52.65	1.43
4457.75	2617000	0.5902	51.51	1.39
4452.45	2165000	0.4738	51.46	1.39
4524.87	3376000	0.7475	51.72	1.41
4626.32	4790000	1.0599	53.05	1.45
4689.86	4752000	1.0531	53.89	1.47
4701.08	5737000	1.2784	54.13	1.48
4836.93	6353000	1.4028	55.8	1.52
4813.73	6753000	1.5088	55.4	1.52
4850.8	6199000	1.3803	55.79	1.53
4991.26	5900000	1.3095	57.52	1.57
4992.42	6836000	1.5255	57.58	1.58
5017.7	6449000	1.4428	57.99	1.59
4943.29	7568000	1.6831	56.81	1.55
4907.78	5793000	1.2883	56.36	1.54
4951.03	4694000	1.0354	56.76	1.55
4945.87	6616000	1.4635	56.73	1.55
4993.27	5956000	1.3232	57.14	1.56
5078.8	7715000	1.7017	57.98	1.59
5057.32	7049000	1.5568	57.56	1.58
4972.59	5828000	1.291	56.52	1.55
5015.16	4920000	1.0568	56.81	1.56
4833.58	4864000	1.0555	58.84	1.5
4735.37	5144000	1.1211	57.67	1.47
4643.87	3400000	0.7396	56.78	1.45
4618.98	3447000	0.7582	56.39	1.44
4624.87	3606000	0.7798	56.4	1.44
4507.96	3321000	0.7242	55.14	1.41
4493.99	3239000	0.7154	54.95	1.4
4705.08	3526000	0.7722	57.59	1.47
4605.31	3624000	0.7886	56.46	1.44
4550.83	3663000	0.8098	55.81	1.42
4550.7	3398000	0.7442	55.98	1.43
4548.35	2697000	0.594	55.91	1.43
4609.2	2521000	0.5458	56.65	1.45
4454.35	2687000	0.5882	54.77	1.4
4456.69	2682000	0.5818	54.81	1.4
4432.46	2346000	0.5046	54.45	1.39
4526.69	2461000	0.5335	58.15	1.42
4499.69	2397000	0.5184	57.81	1.41
4418.11	2583000	0.5575	56.68	1.38
4397.44	2322000	0.5007	56.33	1.37
4350.59	2234000	0.4839	55.69	1.36
4319.99	1828000	0.3892	55.26	1.35
4260.45	2478000	0.5331	54.72	1.34
4328.15	2347000	0.5163	55.76	1.36
4378.99	2736000	0.5977	56.43	1.37
4476.17	3586000	0.7868	57.67	1.4
4357.99	2018000	0.4376	56.23	1.37
4539.72	3412000	0.7353	58.67	1.43
4515.07	2720000	0.582	58.43	1.42
4599.25	3683000	0.7925	59.57	1.45
4586.92	2732000	0.5911	59.33	1.44
4570.68	2073000	0.4233	59.12	1.44
4498.83	1730000	0.3739	58.21	1.42
4496.05	1660000	0.3556	58.03	1.42
4514.24	1753000	0.38	58.17	1.42
4477.01	1688000	0.3639	57.64	1.41
4321.22	2047000	0.4401	55.51	1.36
4337.61	1645000	0.3506	58.43	1.36
4311.56	1706000	0.36	58.14	1.35
4358.39	2051000	0.4455	58.84	1.37
4499.18	2911000	0.639	60.63	1.41
4575.83	3607000	0.7886	61.79	1.44
4552.45	3403000	0.7458	61.41	1.43
4537.39	2703000	0.5864	61.18	1.42
4541.36	3638000	0.8088	61.27	1.42
4530.4	2536000	0.5479	61.02	1.42
4459.81	2008000	0.4389	60.01	1.39
4487.59	1889000	0.4146	60.38	1.4
4609.32	3340000	0.7293	62.03	1.44
4566.66	2420000	0.5271	61.44	1.43
4658.3	4037000	0.8897	62.6	1.46
4648.12	3138000	0.6398	62.45	1.45
4556.1	2430000	0.5059	61.28	1.42
4564.93	2832000	0.6127	61.46	1.43
4374.94	3501000	0.7033	57.51	1.37
4233.54	3027000	0.6547	55.51	1.32
4139.5	2650000	0.5719	54.11	1.29
4200.32	3497000	0.7618	55.07	1.31
4148.07	2945000	0.6353	54.5	1.3
4187.82	2365000	0.5111	54.28	1.32
4202.12	2300000	0.4684	48.59	1.33
4220.45	2367000	0.5223	48.8	1.33
4275.91	2521000	0.5456	49.47	1.35
4191.25	1849000	0.4036	39.45	1.33
4244.18	2385000	0.5124	39.99	1.35
4261.02	1915000	0.4242	40.15	1.35
4334.59	2638000	0.5892	40.84	1.38
4341.1	2023000	0.4558	40.92	1.38
4331.24	1758000	0.3916	40.8	1.38
4283.77	1955000	0.4338	40.39	1.36
4255.8	1369000	0.2955	40.14	1.35
4251.59	1510000	0.3333	39.82	1.35
4216.64	1475000	0.3231	39.5	1.34
4271.3	1909000	0.4244	40.05	1.36
4349.52	3038000	0.686	40.79	1.39
4465.57	3491000	0.7844	41.93	1.43
4451.11	3264000	0.7395	41.82	1.42
4474.41	3728000	0.8416	42.03	1.43
4543.04	3058000	0.6938	42.58	1.45
4555.9	4755000	1.0671	42.9	1.46
4692.94	4875000	1.0961	33.33	1.45
4678.08	4156000	0.9372	33.23	1.44
4738.34	4786000	1.0772	33.67	1.46
4740.45	3594000	0.806	33.71	1.47
4826.94	5097000	1.1396	34.33	1.49
4832.2	4753000	1.0605	34.38	1.49
4804.65	5047000	1.1275	34.14	1.48
4878.43	5238000	1.1675	34.7	1.51
4881.9	4413000	0.9873	34.72	1.51
4892.36	4646000	1.0353	34.79	1.51
4973.19	6094000	1.3619	35.3	1.54
4999.07	6966000	1.5552	35.6	1.55
5048.91	6135000	1.3723	35.98	1.56
5002.58	6714000	1.5064	35.47	1.54
4921.72	4867000	1.0816	34.89	1.52
4909.31	3894000	0.8712	34.85	1.52
4933.79	4389000	0.9779	35.02	1.53
4894.01	3644000	0.8043	34.72	1.51
4877.9	3924000	0.8703	34.64	1.51
4872.15	3907000	0.6468	34.61	1.51
5017.78	6398000	1.1058	35.67	1.56
5095.24	8219000	1.4677	36.22	1.58
5095.31	9503000	1.739	36.17	1.58
5151.85	7008000	1.2789	36.67	1.6
5322.26	9392000	1.6373	37.66	1.65
5367.97	9665000	1.8222	38.08	1.67
5358.91	7706000	1.4921	37.96	1.66
5282.38	7215000	1.4023	37.4	1.64
5239.96	6494000	1.2809	37.33	1.63
5349.94	7247000	1.3472	38.09	1.67
5335.86	7035000	1.3207	38.01	1.66
5413.87	7478000	1.486	38.63	1.69
5299.51	7537000	1.433	37.8	1.66
5287.38	5677000	1.0837	37.69	1.65
5219.3	5214000	0.9826	37.23	1.63
5261.01	5086000	0.8939	37.58	1.65
5287.89	5097000	0.9194	37.84	1.66
5402.75	6384000	1.1407	38.7	1.69
5394.75	5951000	1.0676	38.64	1.69
5451.8	6755000	1.302	39.12	1.71
5342.46	5253000	0.998	38.41	1.68
5307.18	4617000	0.7477	38.12	1.67
5318.34	4317000	0.8122	38.26	1.68
5390.51	4562000	0.8587	38.98	1.7
5377.19	3671000	0.6763	38.81	1.7
5259.45	4309000	0.7925	37.93	1.66
5225.83	3253000	0.581	37.66	1.65
5259.07	4447000	0.8135	37.9	1.66
5232.55	4442000	0.8292	37.7	1.65
5214.6	3035000	0.5728	37.57	1.64
5255.24	3645000	0.6527	37.88	1.66
5442.27	6659000	1.1103	39.25	1.72
5436.75	7307000	1.2855	39.16	1.71
5488.74	5905000	1.0567	39.59	1.73
5516.8	5154000	0.9722	39.72	1.74
5512.16	5870000	1.0918	39.74	1.74
5543.61	4067000	0.7513	39.88	1.75
5611.86	4713000	0.8873	40.43	1.77
5646.62	6301000	1.1732	40.54	1.78
5686.85	4957000	0.9199	40.53	1.79
5558.25	5120000	0.8789	39.55	1.75
5553.43	5026000	0.8997	39.41	1.74
5523.12	4414000	0.8083	39.18	1.73
5650.83	5132000	0.8971	40.17	1.77
5691.79	5223000	0.9499	40.38	1.78
5715.95	3955000	0.7761	40.5	1.79
5673.18	5240000	0.9672	40.24	1.78
5625.63	4028000	0.7585	39.85	1.76
5639.03	3664000	0.6431	40.01	1.77
5727.01	3940000	0.6873	40.66	1.8
5680.69	5407000	0.9262	40.41	1.78
5623.43	4233000	0.7337	40.08	1.77
5645.28	2860000	0.484	40.21	1.78
5623.22	2730000	0.4849	39.98	1.77
5699.26	3109000	0.5889	40.47	1.79
5747.14	4450000	0.7854	40.88	1.81
5750.81	3707000	0.6864	40.81	1.81
5757.91	5401000	0.9618	40.78	1.81
5675.75	4357000	0.7408	40.07	1.77
5684.01	3617000	0.588	40.11	1.78
5722.36	4187000	0.7726	40.3	1.79
5688.23	4185000	0.7269	39.67	1.77
5650.11	3200000	0.5936	39.45	1.76
5643.5	2586000	0.4966	39.43	1.76
5611.41	2916000	0.4824	39.42	1.76
5581.66	2702000	0.4657	31.6	1.79
5699.86	4042000	0.6948	32.27	1.83
5747.79	4541000	0.8229	32.55	1.84
5851.2	6731000	1.1868	33.01	1.87
5856.68	5756000	1.021	33.04	1.87
5821.8	5176000	1.0336	32.82	1.86
5869.88	6295000	1.1735	33.09	1.87
5972.47	6886000	1.2337	33.56	1.9
5938.42	6485000	1.1955	33.36	1.89
5924.38	5634000	1.0359	33.39	1.89
6035.74	6957000	1.2203	33.99	1.92
6042.71	6186000	1.1706	33.88	1.92
6077.89	5557000	1.0848	34	1.93
6061.46	6056000	1.1637	33.92	1.92
6041.86	5480000	1.0604	33.88	1.92
5952.23	5038000	0.8908	33.37	1.89
5918.14	4269000	0.7266	33.25	1.88
5958.55	3030000	0.5757	33.5	1.9
6075.45	5835000	1.0545	34.05	1.93
6095.87	6584000	1.0641	34.17	1.94
6108.13	4898000	0.9025	34.3	1.94
6045.12	7161000	0.9695	33.87	1.92
6087.45	4799000	0.8949	34.68	1.93
6108.99	6196000	1.1228	34.86	1.94
6142.32	5288000	0.9711	35.12	1.96
6013.4	6955000	1.4288	34.48	1.93
6056.83	4588000	0.9175	34.79	1.94
6059.03	4063000	0.8253	34.77	1.94
6022.08	3987000	0.7935	34.54	1.93
5982.75	4208000	0.8561	34.36	1.92
6035.44	4303000	0.8795	34.62	1.93
6044.77	3824000	0.7652	34.62	1.93
5952.32	3479000	0.6861	34.09	1.9
5939.47	3619000	0.7173	33.99	1.9
5865.51	3512000	0.6919	33.56	1.87
5834.24	3241000	0.6362	33.07	1.86
5830.06	3006000	0.5857	33.05	1.86
5821.58	2702000	0.5412	32.94	1.85
5861.18	3780000	0.7566	33.12	1.86
5860.61	2370000	0.4599	33.13	1.86
5740.57	2629000	0.5212	32.44	1.83
5771.77	2784000	0.5418	32.65	1.84
5870.17	3061000	0.6083	26.02	1.8
5911.45	3242000	0.648	26.22	1.81
5884.97	2964000	0.5931	26.15	1.81
5920.46	2961000	0.5691	26.31	1.82
5900.05	2727000	0.5384	26.22	1.81
5847.15	2140000	0.4236	25.97	1.8
5859.56	2664000	0.528	25.97	1.8
5803.42	2666000	0.532	25.69	1.78
5867.05	3139000	0.6177	25.94	1.79
5858.32	3137000	0.6216	25.92	1.79
5924.24	2642000	0.5031	26.19	1.81
5887.23	2505000	0.494	26	1.8
5752.01	4278000	0.8516	25.4	1.76
5768.76	2581000	0.5094	25.45	1.76
5759.23	2729000	0.5466	25.1	1.76
5835.11	3130000	0.6023	25.43	1.78
5845.51	2631000	0.5249	25.42	1.79
5857.87	3546000	0.698	25.49	1.79
5853.7	2937000	0.579	25.45	1.79
5857.21	2544000	0.5039	25.48	1.79
5804.89	2631000	0.5151	26.59	1.78
5866.75	3558000	0.6947	26.81	1.79
5890.69	2726000	0.5334	26.24	1.83
6041.56	5182000	1.0314	26.89	1.88
6125.42	6701000	1.3471	27.28	1.91
6144.01	6218000	1.2531	27.35	1.91
6141.25	6299000	1.2624	27.35	1.91
6169.17	4992000	0.9851	27.47	1.92
6226.98	6149000	1.2302	27.69	1.94
6219.71	3755000	0.7252	27.67	1.94
6210.22	3882000	0.7609	27.62	1.93
6274.97	5035000	0.9764	27.89	1.95
6264.37	5209000	1.0306	27.83	1.95
6269.71	4852000	0.9601	27.83	1.95
6384.63	6123000	1.2041	28.34	1.98
6386.25	7057000	1.4196	28.57	1.99
6312.65	6824000	1.3653	28.27	1.97
6375.38	5905000	1.1797	28.54	1.98
6319.96	6268000	1.2622	28.34	1.97
6252.23	5975000	1.2047	28.01	1.94
6241.39	5623000	1.1265	27.6	1.93
6268.14	6178000	1.2426	27.72	1.94
6353.35	7316000	1.4746	28.1	1.96
6463.09	8557000	1.7228	28.61	2
6488.34	8957000	1.8145	28.7	2.01
6454.39	8694876	1.7396	28.55	1.99
6436.95	9935478	1.9837	28.47	1.99
6549.18	8052803	1.5866	28.92	2.02
6565.37	8468633	1.6686	28.98	2.02
6600.47	8290907	1.644	29.14	2.04
6605.85	8776376	1.7283	29.03	2.04
6681.52	8996805	1.763	28.72	2.07
6665.54	8039479	1.5711	28.65	2.06
6665.89	7170821	1.3678	28.64	2.06
6589.23	6735995	1.2928	28.31	2.04
6644.28	6668095	1.2947	28.56	2.06
6693.25	7466306	1.4337	28.77	2.07
6750.54	7733447	1.4798	29.02	2.09
6888.43	10086261	1.9493	29.68	2.14
6975.26	10907358	2.0816	30.08	2.16
6932.17	10434707	2.0054	29.87	2.15
7034.1	10139779	1.9576	30.29	2.18
6943.68	11631227	2.2312	29.92	2.15
6901.48	7020083	1.3289	29.72	2.14
6973.9	6014157	1.1393	30.03	2.16
6874.91	7513009	1.4552	29.6	2.13
6879.11	5884932	1.1375	29.62	2.13
6800.24	6721820	1.3099	29.28	2.11
6635.98	8068303	1.571	28.59	2.06
6589.72	6767716	1.3155	28.37	2.04
6577.98	5387524	1.0142	28.33	2.04
6787.03	7109644	1.3566	29.25	2.11
6815.09	6835736	1.3277	29.37	2.12
6359.92	2260336	0.3351	27.48	1.97
6172.89	10179417	1.9501	26.64	1.91
6213.56	6570198	1.238	26.79	1.92
6156.73	5695003	1.0893	26.54	1.9
6132.62	4646332	0.8753	26.54	1.89
6474.11	4801709	0.8709	28.03	2
6494.71	6207653	1.2017	28.12	2.01
6522.19	6278220	1.1893	28.33	2.02
6523.49	5469783	1.0646	28.52	2.03
6545.54	5187934	1.0129	28.62	2.03
6682.73	6261030	1.2191	29.24	2.08
6635.54	6776486	1.3396	29.05	2.06
6646.74	4384680	0.8639	29.11	2.07
6672.86	4796727	0.92	29.22	2.07
6620.36	4861629	0.9548	29.03	2.06
6777.78	6763390	1.316	29.74	2.11
6794.33	8027600	1.5766	29.8	2.11
6880.18	7560095	1.4749	30.2	2.14
6736.79	7665874	1.4789	29.6	2.1
6818.2	7212820	1.3896	30	2.13
6779.18	6732809	1.2663	29.85	2.12
6799.97	6131435	1.1627	29.93	2.12
6810.25	5765266	1.0935	29.97	2.13
6732.09	7629268	1.4445	29.61	2.1
6748.1	5027060	0.9394	29.68	2.11
6710.7	4286817	0.7898	29.53	2.1
6646.8	4326292	0.8193	29.23	2.08
6574.75	4157314	0.7894	28.91	2.05
6402.21	5359523	1.0159	28.15	2
6117.81	6377205	1.1768	26.89	1.91
6029.77	3916918	0.696	26.48	1.88
6188.15	4291676	0.7927	27.19	1.93
5854.23	5208462	0.9617	25.71	1.82
5909.79	4875842	0.9235	25.68	1.84
6040.26	4035394	0.7571	26.25	1.88
5825.05	3088690	0.5672	25.22	1.81
5886.36	3987740	0.7447	25.48	1.83
5958.79	4197998	0.7856	25.82	1.85
5918.09	3083335	0.5692	25.65	1.84
5777.32	3255319	0.6091	25.02	1.8
5482.96	3606581	0.6509	23.4	1.7
5557.68	3528103	0.6593	23.71	1.73
5860.58	4320712	0.7826	25.03	1.82
5815.33	5128351	0.9591	24.84	1.81
5964.94	5017124	0.9382	25.5	1.86
5942.08	4167787	0.7799	25.4	1.85
5958.38	3671409	0.6692	25.47	1.86
6027.27	4679754	0.8693	25.77	1.88
6033.05	3239205	0.6033	25.8	1.88
6137.26	3880186	0.7269	26.24	1.91
5977.84	3394782	0.6367	25.54	1.86
5986.2	3376421	0.5736	16.62	1.7
5875.67	2661196	0.4743	16.32	1.66
5671.45	3640699	0.6657	15.75	1.61
5724.89	3234594	0.5854	15.9	1.62
5935.82	3762199	0.6706	16.5	1.68
5986.76	4554296	0.8578	16.65	1.7
5965.7	3178420	0.5911	16.59	1.69
5867.51	3297827	0.6108	16.3	1.66
5735.07	3374254	0.627	15.92	1.62
5574.08	3021811	0.5452	15.47	1.58
5646.49	3050563	0.5402	15.68	1.6
5560.16	3018649	0.5394	15.43	1.57
5664.35	3703372	0.6767	15.66	1.61
5569.29	2668339	0.4834	15.41	1.58
5556.54	2563510	0.4498	15.36	1.58
5729.3	3825057	0.706	15.84	1.63
5779.09	3395933	0.6301	15.99	1.64
5802.55	3450344	0.6502	16.06	1.65
5709.84	2630903	0.4932	15.8	1.62
5741.52	2278939	0.4135	15.89	1.63
5839.44	3475579	0.6433	16.15	1.66
5836.91	3267782	0.6044	16.17	1.66
5746.7	2530012	0.4494	15.91	1.63
5659.78	2224687	0.3913	15.65	1.61
5733.57	2033170	0.3586	15.86	1.63
5727.78	2350199	0.43	15.83	1.62
5713.39	2578210	0.4679	15.81	1.62
5777.72	2529666	0.4546	16	1.64
5758.74	2963535	0.5339	15.95	1.64
5685.57	2616573	0.4692	15.74	1.61
5623.65	2491244	0.4283	15.57	1.6
5542.8	2950478	0.5094	15.34	1.57
5502.14	2460123	0.429	15.22	1.56
5489.1	2392812	0.4185	15.09	1.55
5325.68	3161862	0.5561	14.63	1.5
5409.13	3042462	0.5347	14.86	1.53
5387.96	2873149	0.5016	14.8	1.52
5373.85	2533213	0.4514	14.76	1.52
5331.71	1814032	0.3189	14.65	1.51
5398.61	2747391	0.4885	14.84	1.53
5383.57	2315635	0.4201	14.8	1.52
5349.66	1883395	0.3396	14.68	1.51
5420.57	2543067	0.4624	14.88	1.53
5350.4	1959590	0.3611	14.69	1.51
5367.22	2119968	0.3874	14.75	1.52
5316.87	1938233	0.349	14.61	1.5
5427.61	3407272	0.6154	14.94	1.54
5399.16	3313923	0.6091	14.85	1.53
5399.45	1905277	0.3416	14.85	1.53
5393.73	2251090	0.411	14.83	1.53
5367.34	2093553	0.3853	14.76	1.52
5368.02	1628474	0.2963	14.75	1.52
5389.93	2156912	0.3809	14.8	1.52
5352.01	1396733	0.2499	14.69	1.51
5342.49	1722904	0.3156	14.66	1.51
5427.75	3112106	0.5759	14.83	1.53
5602.99	4427576	0.8095	15.33	1.59
5622.86	4133119	0.7833	15.38	1.59
5660.97	3155652	0.5853	15.5	1.6
5813.39	5333965	0.9944	15.93	1.65
5797.71	3792600	0.7057	15.89	1.64
5788.94	3114734	0.5807	15.87	1.64
5765.54	4516550	0.8449	15.81	1.64
5858.14	4176250	0.79	16.06	1.66
5852.85	4303670	0.8115	16.04	1.66
5761.14	5042001	0.9514	15.78	1.63
5775.99	3357673	0.6137	15.79	1.63
5846.83	3741635	0.6889	15.98	1.65
5846.02	4937659	0.9255	15.97	1.66
5842.93	3615686	0.676	15.97	1.66
5846.19	3872151	0.7227	15.98	1.66
5928.22	4403155	0.8168	16.21	1.68
5919.77	4754315	0.8859	16.19	1.68
5871.07	3148518	0.5796	16.04	1.66
5891.05	3238318	0.5975	16.1	1.67
5818.39	3478282	0.6488	15.88	1.65
5864.54	3917782	0.7309	16	1.66
5949.26	4464503	0.8366	16.23	1.69
5970.18	3893690	0.7182	16.25	1.69
5937.25	3141949	0.5787	16.17	1.68
5892.21	3506391	0.648	16.04	1.67
5849.22	2734848	0.4993	15.9	1.66
5809.75	3604537	0.6527	15.77	1.64
5845.69	3412340	0.6177	15.91	1.66
5945.35	4444714	0.8239	14.04	1.7
6077.96	6543545	1.2248	14.35	1.74
6081.01	4524433	0.8475	14.36	1.74
6060.61	6478273	1.2152	14.31	1.73
6103	4657453	0.8724	14.4	1.74
6102.16	4366331	0.8157	14.36	1.74
6089.28	4139996	0.7681	14.32	1.74
5979.56	4735953	0.8799	14.05	1.71
5963.07	3506513	0.6564	14.01	1.7
5831.07	3853212	0.7142	13.72	1.67
5820.82	3471069	0.6474	13.68	1.66
5772.12	2342038	0.4347	13.55	1.65
5807.79	2902099	0.5354	13.64	1.66
5788.34	2562178	0.4765	13.6	1.65
5797.24	3775644	0.7129	13.62	1.66
5774.67	2926670	0.5508	13.58	1.65
5662.88	2688341	0.5013	13.29	1.62
5650.97	2646625	0.4969	13.23	1.62
5695.56	3328436	0.6277	13.33	1.63
5705.93	2965919	0.5506	13.37	1.63
5656.17	2433591	0.4541	13.23	1.62
5759.61	2581952	0.4857	13.48	1.65
5862.85	3515473	0.6682	13.74	1.68
5860.73	3171460	0.6029	13.75	1.68
5931.31	4283967	0.8156	13.89	1.7
5937.46	3074764	0.5833	13.9	1.71
5945.2	2442524	0.4603	13.91	1.71
5948.49	3033701	0.5794	13.92	1.71
5874.52	2256050	0.4288	13.74	1.69
5917.16	3214535	0.6125	13.85	1.7
5906.69	2855588	0.5395	13.82	1.7
5910.85	2545744	0.4809	13.82	1.7
6028.68	4502308	0.8521	14.1	1.73
6049.49	4297696	0.816	14.16	1.74
6026.55	3300107	0.6291	14.1	1.73
5838.42	3019698	0.5688	13.63	1.68
5851.1	2610053	0.4941	13.67	1.68
5911.31	3067284	0.5828	13.82	1.7
5855.24	2643702	0.5004	13.69	1.68
5778.65	3930151	0.7267	13.5	1.66
5785.26	2771364	0.4865	13.51	1.66
5844.76	3102243	0.5172	13.66	1.68
5798.62	2571387	0.4271	12.49	1.6
5867.95	3160809	0.4788	12.64	1.61
5893.27	2672569	0.415	12.69	1.62
5919.17	2693647	0.4621	12.74	1.63
5925.28	2405431	0.3949	12.75	1.63
5892.51	2443268	0.3822	12.68	1.62
5913.97	2905241	0.4988	12.69	1.63
5911.63	2670883	0.4542	12.69	1.63
5878.89	4111611	0.7152	12.62	1.62
5909.65	2339780	0.3956	12.69	1.63
6002.58	4831442	0.8159	12.9	1.66
6019.23	3960166	0.6931	12.95	1.66
6009.32	3101494	0.5268	12.93	1.66
5985.94	2804074	0.4728	12.88	1.65
5987.85	2664056	0.4508	12.88	1.65
6001.52	3515003	0.6008	12.91	1.66
5997.67	2276144	0.3912	12.9	1.66
6019.42	2541075	0.4254	12.95	1.66
5985.94	2468572	0.3539	12.88	1.65
6000.57	2153453	0.3318	12.91	1.66
6088.49	4366284	0.7339	13.11	1.68
6100.86	3532641	0.6109	13.13	1.69
6139.69	4275829	0.7299	13.24	1.7
