T收盤價	T成交量	T週轉率	T本益比	T股價淨值比
8536.05	1858000	0.5854	75.33	2.63
9004.48	3867000	1.213	79.45	2.77
9069.39	3994000	1.2457	79.93	2.79
9533.87	4434000	1.3718	83.85	2.93
9482.64	4223000	1.3114	83.34	2.91
9807.57	4205000	1.293	86.25	3.01
9856.6	4529000	1.4071	86.75	3.03
9805.69	3608000	1.1301	86.31	3.02
9931.94	4119000	1.2848	87.46	3.06
9854.95	3271000	1.0194	86.81	3.03
10050.43	2984000	0.9321	88.28	3.09
10186.17	3908000	1.2148	89.48	3.14
9969.28	4155000	1.3019	87.61	3.07
9921.03	3338000	1.0499	87.11	3.05
9934.57	3223000	1.0091	87.13	3.05
10127.48	3746000	1.1651	88.79	3.11
10068.05	4238000	1.3171	88.19	3.09
9911.39	4169000	1.2957	86.83	3.04
9662.6	3519000	1.096	84.64	2.97
9374.61	3151000	0.985	82.19	2.88
8866.8	2861000	0.8873	77.76	2.73
8993.68	2765000	0.8631	78.87	2.76
9307.03	3177000	0.9894	81.57	2.86
9104.4	2794000	0.8736	79.75	2.8
9109.05	2338000	0.7333	79.73	2.79
9120.48	2077000	0.6473	79.83	2.8
8808.09	1960000	0.6129	77.12	2.7
8921.12	2087000	0.6491	78.11	2.74
8535.96	2349000	0.7322	74.74	2.62
8541.95	1919000	0.5986	74.79	2.62
8824.36	2535000	0.7879	77.39	2.71
8777.35	2136000	0.6648	77.05	2.7
8638.75	1626000	0.5083	75.99	2.69
8420	1665000	0.5189	74.06	2.62
8425.38	2253000	0.7045	74.11	2.62
8698.53	2180000	0.6826	76.51	2.71
8657.13	2205000	0.6925	73.45	2.7
8616.18	1624000	0.5077	73.1	2.69
8635.84	1711000	0.537	73.27	2.69
8559.87	1657000	0.517	72.15	2.67
8349.91	1814000	0.5637	70.39	2.61
8560.44	2402000	0.7524	72.16	2.67
8465.02	2060000	0.6402	71.37	2.64
8727.82	2119000	0.6556	73.6	2.73
9085.74	3318000	1.0233	76.62	2.84
9087.21	2745000	0.8532	76.66	2.84
9119.77	2321000	0.7221	76.97	2.85
8820.35	2485000	0.7729	74.43	2.76
8807.57	1744000	0.5415	74.32	2.75
8671.01	1551000	0.4793	73.18	2.71
8500.41	1590000	0.492	71.75	2.66
8438.1	1494000	0.4618	69.98	2.64
8559.46	1641000	0.5087	70.98	2.68
8588.25	1610000	0.4972	71.22	2.69
8764.42	1827000	0.5649	72.69	2.74
8939.52	2470000	0.7593	74.12	2.8
8842.63	1495000	0.4615	36.32	2.52
8883.45	2008000	0.6166	36.54	2.54
8935.64	2007000	0.6165	36.75	2.55
8958.21	1626000	0.5009	36.9	2.56
9115.47	2223000	0.6813	37.58	2.61
9067.88	2446000	0.7466	37.39	2.59
9036.66	1859000	0.5716	37.27	2.59
8955.44	1538000	0.4725	36.94	2.56
8891.09	1506000	0.4579	36.68	2.55
8935.23	1818000	0.5527	36.85	2.56
8844.97	1435000	0.4359	36.47	2.53
8832.15	1475000	0.449	36.44	2.53
8770.8	1165000	0.3534	36.18	2.51
8751.1	1146000	0.3467	36.17	2.51
8690.66	1421000	0.4319	35.92	2.49
8637.6	1260000	0.3791	35.68	2.48
8771.77	1565000	0.4649	36.26	2.52
8684.93	1453000	0.4379	35.91	2.49
8529.56	1331000	0.4017	35.27	2.45
8424.17	1286000	0.3888	34.84	2.42
8365.63	1533000	0.462	34.61	2.4
8120.89	1588000	0.4766	33.59	2.33
8265.09	1600000	0.4803	34.86	2.42
8297.77	1752000	0.5278	34.98	2.43
8052.54	1652000	0.4926	33.95	2.36
8421.74	2103000	0.6313	35.51	2.46
8289.39	2208000	0.6668	34.95	2.43
8173.08	1547000	0.4654	34.48	2.39
8154.67	1382000	0.4124	34.4	2.39
8158.63	1358000	0.4059	34.42	2.39
8059.75	1365000	0.409	34	2.36
8267.66	1937000	0.5744	34.88	2.42
8497.13	2657000	0.7902	35.84	2.49
8518.13	2215000	0.6567	35.93	2.49
8585.52	2607000	0.7797	36.14	2.52
8368.78	1806000	0.5397	35.23	2.45
8411.88	1461000	0.4362	35.4	2.46
8219.53	1537000	0.4573	34.58	2.41
8167.37	1694000	0.5033	34.37	2.39
8064.2	1084000	0.3221	33.95	2.36
7900.39	1328000	0.3929	33.24	2.32
7961.54	1529000	0.4529	33.51	2.33
7956.28	1591000	0.4693	33.48	2.33
8122.11	2073000	0.6133	34.19	2.38
8143.93	1977000	0.583	34.29	2.39
8114.92	1442000	0.4264	34.19	2.38
7984.65	1195000	0.3512	33.62	2.34
7916.85	1398000	0.411	33.35	2.33
7844.93	1524000	0.4443	33.04	2.3
7925.2	1538000	0.4461	33.38	2.33
7841.43	1277000	0.3712	33.03	2.3
7715.99	1198000	0.3474	32.5	2.27
7797.78	1384000	0.4008	32.85	2.29
8048.14	2025000	0.5824	33.91	2.36
8024.69	1643000	0.4731	33.81	2.36
7974.65	1315000	0.3797	33.6	2.34
7848.87	904000	0.2604	33.07	2.31
7845.69	1019000	0.2937	33.05	2.31
8003.53	1429000	0.4098	33.72	2.35
8143.25	1832000	0.5242	34.31	2.39
8176.82	2361000	0.6734	34.44	2.4
8209.07	1487000	0.4247	34.57	2.41
8257.88	1985000	0.5674	34.77	2.43
8118.05	1577000	0.4473	34.19	2.38
8098.84	1461000	0.413	34.11	2.38
8026.32	1367000	0.3887	33.81	2.36
7845.87	1128000	0.3201	33.07	2.31
7817.49	1581000	0.4482	32.94	2.3
7543.96	1674000	0.472	31.79	2.22
7616.98	1883000	0.5346	32.1	2.24
7420.06	1918000	0.5439	31.26	2.18
7707.59	2116000	0.6012	32.47	2.26
7803.02	2136000	0.6093	32.88	2.29
7785.62	1678000	0.4773	32.8	2.29
7610.78	1563000	0.443	32.06	2.24
7430.93	1490000	0.4225	31.29	2.18
7367.99	1458000	0.4124	31.04	2.16
7335.2	1063000	0.2954	30.91	2.16
7391.66	1496000	0.4156	31.15	2.17
7152.29	1366000	0.3799	30.14	2.1
7155.45	1801000	0.5015	30.16	2.1
7053.29	1656000	0.4624	29.74	2.07
6910.14	1531000	0.4276	28.9	2.03
6734.9	2055000	0.5728	28.27	1.99
6880.09	2481000	0.6936	28.87	2.03
6920.9	2090000	0.5848	29.04	2.04
6612.09	2116000	0.5897	27.74	1.95
6677.46	1912000	0.5357	28.03	1.97
6749.03	2228000	0.6209	28.34	2
6717.04	1921000	0.5367	28.2	1.99
6564.87	1652000	0.4604	27.55	1.94
6432.36	1542000	0.4297	27	1.9
6185.14	1737000	0.482	25.92	1.83
6024.07	1745000	0.4873	23.8	1.73
6143.44	2311000	0.6455	24.3	1.77
5997.92	1122000	0.311	23.73	1.73
6029.65	2260000	0.633	23.87	1.74
6353.67	2711000	0.7546	25.12	1.83
6352.03	2435000	0.6749	25.12	1.83
6209.42	1766000	0.4909	24.44	1.79
6040.55	927000	0.2557	23.78	1.75
5805.01	1753000	0.4852	22.86	1.68
5876.11	2416000	0.6686	23.16	1.7
5630.95	3021000	0.8365	22.2	1.63
5702.36	2198000	0.6101	22.5	1.65
5432.23	1933000	0.5345	21.44	1.57
5081.28	1605000	0.4386	20.06	1.47
5404.78	2144000	0.5914	21.34	1.57
5599.74	2494000	0.6863	22.12	1.62
5680.95	2269000	0.6296	22.46	1.65
5918.63	2973000	0.8235	23.4	1.72
6023.78	2931000	0.814	23.8	1.75
5941.85	2647000	0.7391	23.48	1.72
5805.17	2068000	0.5572	22.94	1.68
5659.08	566000	0.1477	22.36	1.64
5544.18	1838000	0.4936	21.91	1.61
5425.02	1208000	0.3259	21.34	1.57
5626.08	2280000	0.6187	22.15	1.63
5796.08	2659000	0.719	22.82	1.68
5677.3	2292000	0.6231	22.36	1.65
5657.48	1535000	0.4142	21.67	1.65
5877.77	2429000	0.6568	22.53	1.71
6067.94	3075000	0.8322	23.25	1.77
6089.55	2859000	0.7792	23.31	1.77
6088.74	2826000	0.7717	23.3	1.77
5793.52	1666000	0.451	22.13	1.69
5772.51	1874000	0.5096	22.05	1.68
5737.02	2268000	0.6163	21.92	1.67
5454.13	1830000	0.4956	20.82	1.59
5351.36	1857000	0.498	20.45	1.56
5167.35	1664000	0.4493	19.74	1.51
4845.21	1525000	0.4104	18.51	1.41
5103	2364000	0.6388	19.5	1.49
5130.61	2872000	0.7809	19.6	1.5
5146.92	1864000	0.5055	19.66	1.5
5419.99	2769000	0.7539	20.7	1.58
5433.78	2679000	0.7273	20.74	1.58
5362.26	1648000	0.4447	20.47	1.56
5319.46	1802000	0.4889	20.18	1.55
5256.93	1682000	0.4572	19.95	1.53
5342.06	1542000	0.4198	19.17	1.5
5277.35	1721000	0.4688	18.95	1.49
5174.02	1009000	0.2731	18.61	1.46
5199.2	1790000	0.4879	18.76	1.47
5170.62	2248000	0.6124	18.67	1.46
5212.73	1485000	0.4027	18.82	1.48
5252.83	1678000	0.4561	18.98	1.49
5284.41	1567000	0.4259	19.12	1.5
5380.09	2100000	0.5699	19.49	1.53
5384.36	1734000	0.4723	19.55	1.54
5320.16	1516000	0.4123	19.31	1.52
5224.74	1213000	0.3272	18.96	1.49
5134.1	976000	0.2623	18.59	1.46
5055.2	920000	0.2475	18.26	1.44
5040.25	1207000	0.3255	18.19	1.43
4947.89	1123000	0.3045	17.86	1.4
4817.22	673000	0.1804	17.39	1.37
4811.22	1687000	0.4589	17.41	1.37
4721.36	1064000	0.2874	17.1	1.34
4614.63	819000	0.2206	16.74	1.32
4797.14	1997000	0.5406	17.43	1.37
4743.94	1481000	0.3977	17.27	1.36
4739.09	1409000	0.3777	17.29	1.36
4935.28	2292000	0.622	18	1.41
4894.79	2542000	0.6907	17.86	1.4
