TWI	gold
7761.22	90.44
7760.63	88.08
7963.3	84.49
7891.58	84.16
7927.31	88.81
7722.91	90.6
7830.21	89.75
7890.11	92
8158.33	96.2
8166.62	100.18
8244.18	101.24
8244.19	101.34
8205.3	101.77
8168.06	92.55
8287.09	92.04
8449.34	95.07
8316.05	96.54
8306.12	94.73
8312.15	93.53
8624.01	91.71
8718.83	87.77
8817.9	85.5
8861.1	82.51
8972.5	80.68
8782.72	77.72
8972.51	79.68
8954.38	77.94
9145.35	74.9
8609.86	75.48
8843.84	80.22
8599.65	79.67
8784.4	78.87
8567.82	72.15
8394.75	71.72
8610.39	74.57
8705.13	81.92
8894.54	85.45
8718.12	84.43
8969.43	85.45
9007.87	84.83
8977.23	78.13
9006.61	74.78
8837.03	76.47
8810	79.75
9046.28	79.58
8837.82	76.64
8636.1	73.81
8532.83	77.28
8739.82	81.24
8749.55	82.29
8574.91	86.45
8765.32	89.04
8644.18	89.21
7853.13	92.82
7637.02	98.98
7342.96	108.06
7445.1	104.49
7757.06	106.1
7610.57	109.75
7577.4	106.93
7046.22	94.72
7225.38	95.02
7211.96	95.99
7358.08	101.46
7254.51	98.28
7616.06	110.17
7603.23	116.57
7367.29	117.19
7233.78	109.06
6784.52	102.05
7140.68	102.43
6893.3	106.6
6785.09	100.01
7110.73	102.55
7072.08	100.31
7120.51	105.24
7181.54	106.92
7233.69	107.21
7674.99	112.23
7862.27	110.59
7894.36	109.1
7959.34	113.7
8144.04	112.02
8016.01	110.43
8054.94	99.71
8076.61	89.71
7933	86.43
7706.26	80.01
7788.27	87.47
7507.15	85.6
7480.5	89.79
7700.95	80.19
7401.37	75.76
7151.19	75.49
7071.63	79.95
7106.09	86.17
6999.65	86.5
7155.83	91.54
7222.05	88.32
7296.28	88.89
7368.59	90.07
7104.27	89.28
7164.68	85.11
7124.49	90.21
7217.51	89.5
7441.12	98.17
7467.92	96.28
7477.53	99.45
7397.06	101.68
7424.91	110.08
7738.05	118.84
7754.59	122.31
7715.16	121.46
7690.65	123.15
7437.04	119.71
7408.76	119.04
7134.06	116.51
7210.47	115.2
7293.22	110.94
7130.07	100.5
7326.01	106.05
7580.17	106.02
7642.26	101.05
7698.77	98.4
7519.93	98.22
7699.5	95.12
7805.99	94.63
7819.15	93.99
7732.87	91.12
7672.58	93.59
7855.97	94.45
7906.65	93.03
7947.72	80.85
7964.63	80.4
8015.14	79.93
7927.49	81.34
7796.22	84.65
7918.61	84.91
7942.35	80.08
7821.63	74.33
7930.8	70.67
8022.06	78.95
8135.03	77.66
8280.26	78.14
8368.19	71.03
8209.78	73.53
8254.8	77.9
8095.2	76.83
7937.74	74.88
7793.31	66.3
8062.21	63.61
8001.82	61.5
8220.49	65.84
8062.03	69.9
8149.4	72.86
8099.88	70.15
7856.14	72.7
7925	79.76
7873.31	80.45
8021.89	77.54
8164.2	77.42
8168.2	71.1
8209.18	72.93
8230.68	71.29
8364.55	69.29
8349.37	67.79
8441.19	71.29
8346.62	76.26
8388.18	71.04
8229.59	76.21
8177.12	72.83
8116.78	69.59
8406.83	70.32
8367.72	65.04
8376.94	63.69
8408.53	60.82
8535.04	62.57
8546.54	63.02
8529.35	61.19
8596	64.92
8598.31	69.68
8387.35	68.48
8513.68	79.16
8601.86	80.41
8639.58	78.55
8713.96	81.35
8687.63	83.66
8577.17	79.75
8774.64	75.73
8888.54	76.74
8908.05	77.31
8966.66	78.7
8774.12	79.05
8867.32	79.9
8889.69	76.49
8888.45	75.95
9008.22	75.45
9075.91	73.93
9134.46	73.39
9196.39	77.51
9273.79	82.25
9306.83	83.34
9510.05	86.31
9495.84	89.34
9400.97	87.43
9439.29	87.37
9266.51	85.86
9085.96	84.8
9206.81	84.6
9380.1	81.09
9436.27	84.15
