Date,Open,High,Low,Close,Volume,Adj Close
2014-08-01,9223.75,9502.42,9014.89,9436.27,2317000,9436.27
2014-07-01,9393.07,9593.68,9313.87,9315.85,2932300,9315.85
2014-06-03,9106.61,9393.07,9070.45,9393.07,2604700,9393.07
2014-05-02,8846.86,9139.57,8803.43,9075.91,2334300,9075.91
2014-04-01,8847.34,9022.28,8671.65,8791.44,2428300,8791.44
2014-03-03,8627.15,8849.28,8508.01,8849.28,2461000,8849.28
2014-02-05,8290.17,8647.90,8230.46,8639.58,2490600,8639.58
2014-01-02,8618.60,8668.95,8442.19,8462.57,2728700,8462.57
2013-12-02,8429.24,8647.24,8313.87,8611.51,2025700,8611.51
2013-11-01,8474.47,8476.63,8093.82,8406.83,2144000,8406.83
2013-10-01,8173.99,8469.58,8172.79,8450.06,2346500,8450.06
2013-09-02,8010.15,8310.94,7993.13,8173.87,2182400,8173.87
2013-08-01,8110.73,8162.91,7737.33,8021.89,2055300,8021.89
2013-07-01,8011.95,8265.70,7877.06,8107.94,2230100,8107.94
2013-06-03,8177.97,8250.17,7663.23,8062.21,2296900,8062.21
2013-05-02,8111.43,8439.15,8095.70,8254.80,2589800,8254.80
2013-04-01,7934.25,8115.59,7688.62,8093.66,2024900,8093.66
2013-03-01,7917.72,8089.21,7786.56,7918.61,2199600,7918.61
2013-02-01,7853.75,8029.10,7832.00,7897.98,2138000,7897.98
2013-01-02,7738.05,7855.16,7603.27,7850.02,2316600,7850.02
2012-12-03,7582.65,7757.09,7491.52,7699.50,2388000,7699.50
2012-11-01,7141.97,7590.69,7050.05,7580.17,1870900,7580.17
2012-10-01,7702.12,7727.53,7091.19,7166.05,1678300,7166.05
2012-09-03,7430.40,7789.39,7313.56,7715.16,2397900,7715.16
2012-08-01,7242.58,7536.32,7186.78,7397.06,1944300,7397.06
2012-07-02,7332.09,7442.55,6922.73,7270.49,1700800,7270.49
2012-06-01,7213.69,7334.63,6857.35,7296.28,1623000,7296.28
2012-05-02,7511.76,7704.87,7047.32,7301.50,1868500,7301.50
2012-04-02,7905.88,7928.43,7422.14,7501.72,1868700,7501.72
2012-03-01,8127.57,8170.72,7775.75,7933.00,2615600,7933.00
2012-02-01,7520.36,8121.44,7488.97,8121.44,3818500,8121.44
2012-01-02,7071.35,7517.08,6948.67,7517.08,2742000,7517.08
2011-12-01,7132.41,7199.26,6609.11,7072.08,1937700,7072.08
2011-11-01,7547.24,7683.09,6744.26,6904.12,2392700,6904.12
2011-10-03,7128.66,7743.37,6889.99,7587.69,2271100,7587.69
2011-09-01,7799.18,7886.04,6877.12,7225.38,2627100,7225.38
2011-08-01,8629.97,8707.87,7148.76,7741.36,3220700,7741.36
2011-07-01,8684.39,8842.17,8410.44,8644.18,2696800,8644.18
2011-06-01,8999.84,9089.47,8433.46,8652.59,2188600,8652.59
2011-05-03,9014.33,9082.01,8673.38,8988.84,2468600,8988.84
2011-04-01,8697.84,9099.75,8592.23,9007.87,2816300,9007.87
2011-03-01,8611.79,8829.23,8070.52,8683.30,2876600,8683.30
2011-02-08,9220.69,9220.69,8470.09,8599.65,3653800,8599.65
2011-01-03,9039.63,9154.93,8738.93,9145.35,3915600,9145.35
2010-12-01,8430.60,8990.38,8428.64,8972.50,3982500,8972.50
2010-11-01,8343.52,8473.66,8226.71,8372.48,2904300,8372.48
2010-10-01,8259.08,8386.29,7992.81,8287.09,4110100,8287.09
2010-09-01,7643.61,8286.93,7625.72,8237.78,4686700,8237.78
2010-08-02,7829.19,8054.29,7577.10,7616.28,4934400,7616.28
2010-07-01,7326.89,7807.07,7251.60,7760.63,4006900,7760.63
2010-06-01,7327.01,7645.71,7048.60,7329.37,3129500,7329.37
2010-05-03,7979.80,8022.45,7032.40,7373.98,3580000,7373.98
2010-04-01,7952.62,8190.01,7842.07,8004.25,4546900,8004.25
2010-03-01,7492.84,7994.62,7451.09,7920.06,3654800,7920.06
2010-02-01,7653.89,7661.70,7173.18,7436.10,3557300,7436.10
2010-01-04,8222.42,8395.39,7481.90,7640.44,5468800,7640.44
2009-12-01,7615.95,8188.80,7549.01,8188.11,4722100,8188.11
2009-11-02,7238.30,7875.48,7218.89,7582.21,4022300,7582.21
2009-10-01,7581.38,7811.92,7233.63,7340.08,4667500,7340.08
2009-09-01,6834.63,7558.88,6807.62,7509.17,4391700,7509.17
2009-08-03,7036.47,7138.94,6629.10,6825.95,4072600,6825.95
2009-07-01,6445.85,7185.52,6433.69,7077.71,5062400,7077.71
2009-06-01,7033.33,7084.83,6100.08,6432.16,4915900,6432.16
2009-05-04,6285.60,6930.59,6256.29,6890.44,8247900,6890.44
2009-04-01,5271.83,6071.06,5271.83,5992.57,7049400,5992.57
2009-03-02,4528.27,5468.49,4328.05,5210.84,5531700,5210.84
2009-02-02,4277.10,4607.97,4240.08,4557.15,3387500,4557.15
2009-01-05,4725.26,4817.44,4164.19,4247.97,3361400,4247.97
2008-12-01,4436.12,4750.96,4190.02,4591.22,3941000,4591.22
2008-11-03,4925.74,5095.98,3955.43,4460.49,3608800,4460.49
2008-10-01,5854.00,5854.00,4110.09,4870.66,3234700,4870.66
2008-09-01,6967.22,6967.22,5530.19,5719.28,3969000,5719.28
2008-08-01,6920.75,7376.69,6809.96,7046.11,3900400,7046.11
2008-07-01,7528.54,7569.18,6708.46,7024.06,4377100,7024.06
2008-06-02,8638.48,8809.33,7466.20,7523.54,4094200,7523.54
2008-05-02,8998.06,9309.95,8548.32,8619.08,5527600,8619.08
2008-04-01,8593.20,9194.86,8419.72,8919.92,5948600,8919.92
2008-03-03,8213.70,9049.23,7900.80,8572.59,5918400,8572.59
2008-02-01,7613.58,8473.71,7530.37,8412.76,5205900,8412.76
2008-01-02,8491.57,8546.20,7384.61,7521.13,5225400,7521.13
2007-12-03,8623.12,8804.93,7664.62,8506.28,4069700,8506.28
2007-11-01,9780.59,9785.75,8207.97,8586.40,4801000,8586.40
2007-10-01,9523.98,9859.65,9275.72,9711.37,5527000,9711.37
2007-09-03,9018.89,9474.05,8841.64,9411.95,4920700,9411.95
2007-08-01,9188.60,9265.70,7987.61,8982.16,5339900,8982.16
2007-07-02,8903.77,9807.91,8849.35,9287.25,8290700,9287.25
2007-06-01,8236.76,8985.93,8224.28,8883.21,5305200,8883.21
2007-05-02,7900.76,8256.25,7861.43,8144.95,3501400,8144.95
2007-04-02,7888.17,8108.50,7843.05,7875.42,4440100,7875.42
2007-03-01,7707.63,7928.03,7306.07,7884.41,3980300,7884.41
2007-02-01,7751.30,7950.20,7679.78,7901.96,3523300,7901.96
2007-01-02,7871.41,7999.42,7599.55,7699.64,4537800,7699.64
2006-12-01,7587.51,7823.72,7369.09,7823.72,5001000,7823.72
2006-11-01,7036.07,7567.72,7005.13,7567.72,4773700,7567.72
2006-10-02,6907.43,7159.85,6874.98,7021.32,3578700,7021.32
2006-09-01,6631.83,6961.92,6550.03,6883.05,2916800,6883.05
2006-08-01,6464.59,6761.79,6405.09,6611.77,2904900,6611.77
2006-07-03,6727.23,6789.55,6232.49,6454.58,2810000,6454.58
2006-06-01,6874.66,6967.38,6268.92,6704.41,3286100,6704.41
2006-05-02,7174.93,7476.07,6791.11,6846.95,4777600,6846.95
2006-04-03,6627.32,7229.35,6615.98,7171.77,4428800,7171.77
2006-03-01,6518.00,6685.45,6344.73,6613.97,2758100,6613.97
2006-02-03,6592.19,6747.43,6466.21,6561.63,3368200,6561.63
2006-01-02,6457.61,6797.20,6373.63,6532.18,4517000,6532.18
2005-12-01,6196.36,6600.17,6162.86,6548.34,4282200,6548.34
2005-11-01,5803.25,6212.35,5786.64,6203.47,3275200,6203.47
2005-10-03,6128.97,6171.87,5618.90,5764.30,3087100,5764.30
2005-09-02,6081.71,6186.12,5894.99,6118.61,2806900,6118.61
2005-08-01,6320.67,6481.62,5976.40,6033.47,3167800,6033.47
2005-07-01,6240.08,6480.97,6180.58,6311.98,4055200,6311.98
2005-06-01,6002.55,6401.81,5962.88,6241.94,3893600,6241.94
2005-05-03,5845.14,6026.53,5793.25,6011.56,2744600,6011.56
2005-04-01,6010.71,6048.37,5565.41,5818.07,2674800,5818.07
2005-03-01,6227.42,6267.52,5940.18,6005.88,3281800,6005.88
2005-02-01,6015.78,6233.53,5979.92,6207.83,4095100,6207.83
2005-01-03,6166.39,6183.15,5734.87,5994.23,3112900,5994.23
2004-12-01,5778.06,6160.96,5745.05,6139.69,3232100,6139.69
2004-11-01,5725.65,6088.12,5628.25,5844.76,3232600,5844.76
2004-10-01,5869.42,6135.55,5597.80,5705.93,3964200,5705.93
2004-09-01,5799.82,5970.29,5712.95,5845.69,3985600,5845.69
2004-08-02,5404.19,5864.57,5255.06,5765.54,3086000,5765.54
2004-07-01,5849.74,5870.59,5280.42,5420.57,2659300,5420.57
2004-06-01,5991.49,6010.50,5514.17,5839.44,3385100,5839.44
2004-05-03,6102.60,6191.84,5450.72,5977.84,4169100,5977.84
2004-04-01,6504.54,6916.31,6023.58,6117.81,6201100,6117.81
2004-03-01,6816.79,7135.00,6020.64,6522.19,7493700,6522.19
2004-02-02,6379.98,6756.76,6210.35,6750.54,8041900,6750.54
2004-01-02,5907.15,6421.45,5907.15,6375.38,5974800,6375.38
2003-12-01,5768.69,5945.53,5718.44,5890.69,3014100,5890.69
2003-11-03,6054.31,6182.20,5740.57,5771.77,4003700,5771.77
2003-10-01,5599.10,6173.85,5560.55,6045.12,5013900,6045.12
2003-09-01,5690.84,5809.43,5591.33,5611.41,3593900,5611.41
2003-08-01,5365.73,5692.93,5174.77,5650.83,4424000,5650.83
2003-07-01,4893.58,5504.38,4893.58,5318.34,5852500,5318.34
2003-06-02,4620.54,5089.08,4612.10,4872.15,4895200,4872.15
2003-05-02,4130.60,4639.01,4108.67,4555.90,2642500,4555.90
2003-04-01,4275.39,4677.42,4044.73,4148.07,2850800,4148.07
2003-03-03,4483.44,4619.98,4240.60,4321.22,2436300,4321.22
2003-02-06,4975.65,4975.65,4385.61,4432.46,3488500,4432.46
2003-01-02,4460.57,5141.80,4431.19,5015.16,6158600,5015.16
2002-12-02,4655.42,4867.23,4413.14,4452.45,000,4452.45
2002-11-01,4596.69,4862.66,4486.34,4646.69,000,4646.69
2002-10-01,4146.67,4682.94,3845.76,4579.14,000,4579.14
2002-09-02,4756.01,4756.01,4082.94,4191.81,000,4191.81
2002-08-01,4923.29,5030.24,4506.60,4764.94,000,4764.94
2002-07-01,5124.50,5460.09,4796.45,4940.38,000,4940.38
2002-06-03,5628.27,5656.91,5048.31,5153.71,000,5153.71
2002-05-02,6099.27,6106.77,5421.80,5675.65,000,5675.65
2002-04-01,6118.45,6484.93,6009.45,6065.73,000,6065.73
2002-03-01,5672.03,6326.43,5645.80,6167.47,000,6167.47
2002-02-01,5948.10,6048.65,5492.94,5696.11,000,5696.11
2002-01-02,5575.34,6049.12,5375.40,5872.14,000,5872.14
2001-12-03,4534.37,5651.98,4532.19,5551.24,000,5551.24
2001-11-01,3939.08,4722.18,3910.84,4441.12,000,4441.12
2001-10-02,3623.67,4104.21,3436.25,3903.49,000,3903.49
2001-09-03,4520.00,4526.27,3411.68,3636.94,000,3636.94
2001-08-01,4402.71,4715.20,4303.34,4509.44,000,4509.44
2001-07-02,4886.49,4906.82,4008.08,4352.98,000,4352.98
2001-06-01,5090.66,5318.71,4741.54,4883.43,000,4883.43
2001-05-02,5469.95,5502.53,4902.22,5048.86,000,5048.86
2001-04-02,5797.85,5797.85,5345.60,5381.67,000,5381.67
2001-03-01,5581.95,5981.31,5471.62,5797.92,000,5797.92
2001-02-01,5927.25,6198.22,5653.86,5674.69,000,5674.69
