"XAU.TWD" "USD.TWD" "CNY.TWD" "CHF.TWD"
"304" 52095.05 29.8697 4.7037 34.5969
"305" 51539 29.9046 4.7085 34.3683
"306" 51424.15 30.0516 4.7233 33.9776
"307" 52062.15 30.1207 4.7369 34.0474
"308" 52627.65 30.1852 4.7528 34.1594
"309" 53058.95 30.181 4.757 34.1905
"310" 52747.1 30.0568 4.7348 33.9726
"311" 52836.35 30.107 4.7429 34.0084
"312" 53323.75 30.0959 4.7437 33.5882
"313" 53928.45 30.0907 4.7476 33.4329
"314" 53739.45 30.0641 4.7482 33.3883
"315" 53286.65 30.2253 4.7648 33.2671
"316" 53369.8 30.1739 4.7599 33.3552
"317" 53978.35 30.18 4.7635 33.5375
"318" 53711.4 30.0302 4.7347 33.3735
"319" 53634.85 30.0458 4.7391 33.2754
"320" 53620.1 30.2068 4.7561 33.0909
"321" 53559.95 30.2201 4.7579 32.9273
"322" 52926.05 30.2258 4.761 32.8614
"323" 52176.45 30.2624 4.7637 32.9857
"324" 52343.95 30.3645 4.7824 33.1271
"325" 52314.8 30.406 4.7829 33.1685
"326" 51739 30.2888 4.7636 33.0054
"327" 51210.15 30.3115 4.7578 33.1201
"328" 51555.6 30.3774 4.7648 33.1346
"329" 51533.3 30.4106 4.7647 33.0889
"330" 51320.2 30.4266 4.7677 32.8967
"331" 51180.45 30.4422 4.768 32.7449
"332" 51172.2 30.4367 4.7671 32.7424
"333" 51931.6 30.424 4.7688 32.9076
"334" 52029.45 30.3905 4.769 32.9921
"335" 52359.65 30.3286 4.7667 33.0341
"336" 52625.85 30.1414 4.7438 33.0143
"337" 52640 30.1357 4.746 32.86
"338" 52836.35 30.2545 4.7656 32.8396
"339" 53060.65 30.3814 4.7858 32.9765
"340" 52584.7 30.1948 4.7574 32.8038
"341" 51913.5 30.2098 4.7614 32.6812
"342" 52220.45 30.1654 4.7546 32.594
"343" 52239.6 30.1695 4.7563 32.6259
"344" 51728.55 30.2097 4.7611 32.6646
"345" 51788.45 30.2616 4.773 32.7811
"346" 51852.5 30.2985 4.7773 32.8127
"347" 50991.5 30.2377 4.744 32.5173
"348" 50237.7 30.2732 4.7423 32.2639
"349" 49062 30.2807 4.7351 31.9562
"350" 47835.35 30.3374 4.7367 32.0276
"351" 48176.3 30.3477 4.7527 32.3318
"352" 48536.9 30.355 4.7614 32.4261
"353" 48503.55 30.3328 4.7581 32.3994
"354" 48451.25 30.3753 4.7636 32.4226
"355" 48692.1 30.3571 4.7622 32.5021
"356" 49083.6 30.2814 4.7585 32.5043
"357" 48765.5 30.2874 4.7596 32.3605
"358" 48707.5 30.2773 4.7626 32.3498
"359" 48700.2 30.3042 4.7677 32.3585
"360" 48736 30.3255 4.7713 32.3821
"361" 48661.8 30.2986 4.7666 32.3707
"362" 48403.3 30.3107 4.7712 32.4139
"363" 47983.3 30.3282 4.7697 32.398
