收盤價	成交量	週轉率	市值比重	本益比	股價淨值比
40.11	35125	0.4579	10.948	72.65	12.94
41.01	70449	0.9184	11.08	74.29	13.23
40.11	34579	0.4508	10.756	72.65	12.94
38.98	41182	0.5369	10.544	70.61	12.58
40.33	48342	0.6302	10.602	73.06	13.02
39.66	48622	0.6339	10.628	71.84	12.8
40.78	37852	0.4935	10.67	73.88	13.16
40.11	25817	0.3366	10.536	72.65	12.94
41.01	50468	0.6579	10.871	74.29	13.23
42.36	47479	0.619	11.024	76.73	13.67
42.13	27177	0.3543	10.819	76.33	13.6
41.46	23044	0.3004	10.721	75.1	13.38
41.46	23604	0.3077	10.837	75.1	13.38
41.01	22013	0.287	10.736	74.29	13.23
41.91	19849	0.2588	10.831	75.92	13.53
42.36	30652	0.3996	10.794	76.73	13.67
43.49	39156	0.5104	11.099	78.78	14.03
46.42	62645	0.8167	11.585	84.08	14.98
46.87	50400	0.657	11.641	84.9	15.13
45.97	34642	0.4516	11.337	83.27	14.83
45.06	25714	0.3352	11.185	81.63	14.54
45.74	29418	0.3835	11.216	82.86	14.76
45.51	26796	0.3493	10.984	82.45	14.69
47.54	44213	0.5764	11.298	86.12	15.34
48.22	31077	0.4051	11.404	87.35	15.56
49.34	37639	0.4907	11.588	89.39	15.93
48.22	24559	0.3202	11.502	87.35	15.56
48.44	18398	0.2398	11.572	87.76	15.63
47.99	13890	0.1811	11.341	86.94	15.49
47.54	20375	0.2656	11.082	86.12	15.34
46.87	21321	0.2779	11.038	84.9	15.13
46.19	15672	0.2043	10.81	83.67	14.91
43.94	26940	0.3512	10.54	79.59	14.18
43.94	29432	0.3837	10.736	79.59	14.18
43.71	12934	0.1686	10.78	79.18	14.11
43.94	14593	0.1902	10.883	79.59	14.18
44.84	29021	0.3783	11.302	81.22	14.47
45.29	17285	0.2253	11.411	82.04	14.62
46.42	15842	0.2065	11.338	84.08	14.98
45.74	12033	0.1569	11.343	82.86	14.76
45.74	10175	0.1326	11.291	82.86	14.76
45.97	11936	0.1556	11.427	83.27	14.83
45.06	12658	0.165	11.382	81.63	14.54
44.84	14657	0.1911	11.31	81.22	14.47
44.61	11346	0.1479	11.242	80.82	14.4
45.06	12585	0.1641	11.121	81.63	14.54
43.94	17500	0.2281	11.025	79.59	14.18
41.01	40641	0.5298	11.011	74.29	13.23
41.91	25465	0.332	11.223	75.92	13.53
41.23	26992	0.3519	11.292	74.69	13.31
41.46	40862	0.5327	11.296	75.1	13.38
42.81	46864	0.6109	11.557	77.55	13.82
41.46	3709	0.0484	11.49	75.1	13.38
43.94	78356	1.0215	11.543	79.59	14.18
43.26	43281	0.5642	11.284	78.37	13.96
45.29	49041	0.6393	11.239	82.04	14.62
44.61	33181	0.4326	11.131	80.82	14.4
47.54	45128	0.5883	11.468	86.12	15.34
47.09	31819	0.4148	11.294	85.31	15.2
45.97	18498	0.2411	11.081	83.27	14.83
46.87	39878	0.5199	11.155	84.9	15.13
46.19	22235	0.2899	11.075	83.67	14.91
47.32	17769	0.2316	11.125	85.71	15.27
46.87	32134	0.4189	10.872	84.9	15.13
45.51	25787	0.3362	10.788	82.45	14.69
45.06	19459	0.2537	10.732	81.63	14.54
45.06	17426	0.2272	10.716	81.63	14.54
47.32	35636	0.4646	11.037	85.71	15.27
46.19	20759	0.2706	10.838	83.67	14.91
45.06	22681	0.2957	10.741	81.63	14.54
43.26	43879	0.572	10.577	78.37	13.96
41.91	42135	0.5493	10.558	75.92	13.53
39.66	60349	0.7867	10.562	71.84	12.8
40.33	36638	0.4776	10.591	73.06	13.02
