收盤價	成交量	週轉率	市值比重	本益比	股價淨值比
42.59	38334	0.4997	10.806	77.14	13.74
41.23	25673	0.3347	10.696	74.69	13.31
41.91	16799	0.219	10.866	75.92	13.53
41.91	12462	0.1625	10.852	75.92	13.53
40.56	14244	0.1857	10.874	73.47	13.09
42.13	22906	0.2986	11.154	76.33	13.6
41.68	39360	0.5131	11.533	75.51	13.45
42.36	18692	0.2437	11.712	76.73	13.67
44.39	41902	0.5462	11.879	80.41	14.33
43.94	19772	0.2578	11.821	48.99	14.18
43.49	14964	0.1951	11.858	48.49	14.03
42.36	13337	0.1739	11.851	47.24	13.67
42.13	19705	0.2569	11.781	46.98	13.6
43.26	19526	0.2545	11.716	48.24	13.96
42.81	11050	0.1441	11.655	47.74	13.82
43.49	14605	0.1904	11.896	48.49	14.03
43.49	13523	0.1763	11.868	48.49	14.03
42.36	16876	0.22	11.663	47.24	13.67
40.33	29310	0.3821	11.384	44.97	13.02
41.68	38309	0.4994	11.476	46.48	13.45
41.33	38971	0.3901	11.517	35.43	13.35
43.82	30785	0.3081	11.843	48.86	14.16
46.61	47775	0.4782	12.1	51.96	15.06
47.78	36662	0.367	12.4	53.27	15.44
47.48	24316	0.2434	12.276	52.94	15.34
46.9	27040	0.2706	12.536	52.29	15.15
46.31	30913	0.3094	12.397	51.63	14.96
44.85	22639	0.2266	12.194	50	14.49
43.53	24773	0.248	12.073	48.53	14.06
42.65	27905	0.2793	11.916	47.55	13.78
42.65	20146	0.2016	11.747	47.55	13.78
42.65	15020	0.1503	11.708	47.55	13.78
44.26	23836	0.2386	11.906	49.35	14.3
46.02	45867	0.4591	12.137	51.31	14.87
44.85	15916	0.1593	11.945	50	11.72
45.43	29134	0.2883	12.162	50.65	12.01
46.02	17808	0.1762	12.247	51.31	12.16
46.31	17308	0.1713	12.293	51.63	12.24
47.19	23755	0.2351	12.301	52.61	12.47
46.02	20401	0.2019	12.058	51.31	12.16
46.31	13283	0.1314	12.175	51.63	12.24
46.02	19452	0.1925	12.207	51.31	12.16
45.43	13998	0.1385	12.139	50.65	12.01
45.14	18838	0.1864	12.002	50.33	11.93
43.97	20194	0.1998	11.809	49.02	11.62
43.97	21826	0.216	11.821	49.02	11.62
43.82	11620	0.115	11.864	48.86	11.58
43.38	16644	0.1647	11.751	48.37	11.46
43.53	13224	0.1309	11.873	48.53	11.5
43.09	10905	0.1079	11.83	48.04	11.39
43.67	18616	0.1842	11.802	48.69	11.54
42.79	14558	0.1441	11.676	47.71	11.31
41.48	27432	0.2714	11.522	46.24	10.96
41.48	15822	0.1566	11.666	46.24	10.96
42.21	18815	0.1862	11.955	47.06	11.15
41.77	22487	0.2225	12.187	46.57	11.04
42.79	22512	0.1926	13.923	47.71	13.08
42.06	30095	0.2575	13.619	46.9	12.86
41.33	21260	0.1819	13.789	53.41	12.63
43.67	34591	0.2959	13.933	56.44	13.35
42.5	29218	0.25	13.774	54.92	12.99
41.62	16693	0.1428	13.675	53.79	12.72
42.06	18866	0.1614	13.851	54.36	12.86
42.21	15134	0.1295	13.891	54.55	12.9
42.06	11864	0.1015	14.011	54.36	12.86
42.5	20212	0.1729	13.797	54.92	12.99
42.79	18256	0.1562	13.517	55.3	13.08
42.65	13737	0.1175	13.437	55.11	13.04
42.06	14790	0.1265	13.147	54.36	12.86
41.62	9419	0.0806	13.346	53.79	12.72
41.62	11672	0.0999	13.277	53.79	12.72
39.57	33739	0.2886	12.919	51.14	12.1
38.11	47350	0.4051	12.518	49.24	11.65
37.08	32073	0.2744	12.332	48.47	11.33
36.79	27098	0.2318	12.492	48.08	11.24
38.11	35849	0.3067	12.841	49.81	11.65
37.81	21839	0.1868	12.749	49.43	11.56
37.37	32269	0.2761	12.339	48.85	11.42
37.52	17558	0.1502	12.354	49.04	11.47
37.23	12942	0.1107	12.293	48.66	11.38
36.93	16098	0.1377	12.379	48.28	11.29
36.64	11535	0.0987	12.383	47.89	11.2
35.76	14725	0.126	12.196	46.74	10.93
36.79	23273	0.1991	12.418	48.08	11.24
36.93	21937	0.1877	12.6	48.28	11.29
36.05	25658	0.2195	12.499	47.13	11.02
36.79	25507	0.2182	12.62	48.08	11.24
38.11	28519	0.244	12.664	49.81	11.65
38.98	29662	0.2538	12.994	50.96	11.92
38.4	16133	0.138	12.878	50.19	11.74
38.11	12551	0.1074	12.983	49.81	11.65
38.25	15549	0.133	13.039	50	11.69
39.57	22476	0.1923	13.222	51.72	12.1
40.45	27216	0.2328	13.284	52.87	12.36
40.89	24951	0.2135	13.372	53.45	12.5
40.6	14583	0.1248	13.224	53.07	12.41
40.45	14459	0.1237	13.098	52.87	12.36
40.16	13589	0.1163	13.227	52.49	12.27
40.89	25072	0.2145	13.499	53.45	12.5
41.18	19556	0.1673	13.718	53.83	12.59
40.45	12025	0.1029	13.774	52.87	12.36
40.16	20392	0.1744	13.723	52.49	12.27
39.57	16166	0.1383	14.013	51.72	12.1
39.42	17177	0.1469	13.827	41.38	12.05
38.11	22627	0.1936	13.714	40	11.65
38.98	12236	0.1047	13.507	40.92	11.92
39.13	10959	0.0938	13.392	41.08	11.96
39.28	12830	0.1098	13.473	41.23	12.01
38.4	16489	0.1411	13.474	40.31	11.74
36.79	19594	0.1676	13.22	38.62	11.24
36.49	15510	0.1327	13.224	38.31	11.15
36.35	17154	0.1467	13.231	38.15	11.11
36.35	34218	0.2927	13.129	38.15	11.11
35.17	17053	0.1459	13.128	36.92	10.75
35.91	23835	0.2039	13.396	37.69	10.98
35.61	12932	0.1106	13.478	37.38	10.89
35.47	28184	0.2411	13.706	37.23	10.84
33.12	38742	0.3314	13.088	34.77	10.12
33.71	34697	0.2968	13.041	35.38	10.3
33.56	19715	0.1687	12.909	35.23	10.26
31.22	38288	0.3275	12.568	32.77	9.54
31.22	25774	0.2205	12.438	32.77	9.54
33.27	57279	0.49	13.114	34.92	10.17
32.54	39454	0.3375	12.886	34.15	9.95
31.22	30978	0.265	12.651	32.77	9.54
30.48	22123	0.1893	12.608	32	9.32
29.31	26652	0.228	12.611	30.77	8.96
28.87	39885	0.3412	12.621	30.31	5.58
30.19	56019	0.4792	12.941	31.69	5.84
29.17	24245	0.2074	12.805	30.62	5.64
30.19	47638	0.4075	13.185	31.69	5.84
32.24	51705	0.4423	13.364	33.85	6.24
32.54	22263	0.1905	13.488	34.15	6.29
31.51	29317	0.2508	13.364	33.08	6.09
30.48	8340	0.0713	13.29	32	5.89
28.43	52818	0.4518	12.899	29.85	5.5
28.29	55330	0.4733	12.678	29.69	5.47
26.82	51176	0.4378	12.546	28.15	5.19
27.55	44201	0.3781	12.727	28.92	5.33
25.65	57667	0.4933	12.436	26.92	4.96
23.89	57450	0.4915	12.383	25.08	4.62
25.5	15339	0.1312	12.428	26.77	4.93
27.26	10399	0.089	12.821	28.62	5.27
29.17	112865	0.9655	13.519	30.62	5.64
31.07	80821	0.6914	13.823	32.62	6.01
31.51	61307	0.5245	13.772	33.08	6.09
30.92	47067	0.4026	13.703	32.46	5.98
29.9	51145	0.4375	13.561	31.38	5.78
28.87	12596	0.1078	13.434	30.31	5.58
28.73	68147	0.583	13.642	30.15	5.55
28.43	51439	0.44	13.525	29.85	5.5
30.34	54745	0.4683	13.916	31.85	5.87
32.1	71284	0.6098	14.291	33.69	6.21
31.07	25697	0.2198	14.123	32.62	6.01
31.95	70240	0.6009	14.579	24.55	6.18
34.15	72522	0.6204	14.997	26.24	6.6
34.29	68139	0.5829	14.59	26.35	6.63
33.71	48324	0.4134	14.289	25.9	6.52
33.42	50439	0.4315	14.167	25.68	6.46
31.22	42172	0.3608	13.91	23.99	6.04
31.22	30241	0.2587	13.961	23.99	6.04
31.36	39833	0.3408	14.112	24.1	6.07
29.31	42372	0.3625	13.873	22.52	5.67
28.87	43157	0.3692	13.917	22.18	5.58
27.55	25719	0.22	13.754	21.17	5.33
25.79	35504	0.3037	13.731	19.82	4.99
27.55	40573	0.3471	13.926	21.17	5.33
26.67	51108	0.4372	13.41	20.5	5.16
26.09	26954	0.2306	13.073	20.05	5.04
27.85	46019	0.3937	13.252	21.4	5.38
27.7	31146	0.2664	13.149	21.28	5.36
27.11	18504	0.1583	13.042	20.83	5.24
26.53	21559	0.1844	12.87	20.38	5.13
26.23	35249	0.3015	12.879	20.16	5.07
26.82	29976	0.2564	11.634	20.61	4.72
26.38	13255	0.1134	11.583	20.27	4.64
25.79	13514	0.1156	11.551	19.82	4.54
25.94	25771	0.2205	11.56	19.93	4.57
26.09	33781	0.289	11.69	20.05	4.59
26.67	27656	0.2366	11.856	20.5	4.7
26.38	22742	0.1946	11.635	20.27	4.64
26.38	21335	0.1825	11.566	20.27	4.64
27.11	41234	0.3527	11.676	20.83	4.77
26.97	11266	0.0964	11.605	20.72	4.75
26.53	13907	0.119	11.553	20.38	4.67
25.79	14337	0.1226	11.439	19.82	4.54
25.65	8753	0.0749	11.574	19.71	4.52
24.77	16548	0.1416	11.352	19.03	4.36
24.62	27684	0.2368	11.318	18.92	4.33
23.89	26833	0.2296	11.186	18.36	4.21
23.16	20874	0.1786	11.136	17.79	4.08
22.86	31969	0.2735	11.009	17.57	4.02
22.28	14939	0.1278	10.93	17.12	3.92
21.98	20502	0.1754	11.036	16.89	3.87
23.45	35549	0.3041	11.323	18.02	4.13
23.3	36369	0.3111	11.379	17.91	4.1
23.01	13275	0.1136	11.242	17.68	4.05
24.48	31479	0.2693	11.474	18.81	4.31
23.6	31730	0.2714	11.153	18.13	4.15
24.91	67142	0.5744	11.224	19.14	4.39
26.53	57537	0.4922	11.59	20.38	4.67
26.23	55457	0.4744	11.698	20.16	4.62
27.26	44746	0.3828	11.732	20.95	4.8
27.55	33171	0.2838	11.726	21.17	4.85
27.11	36399	0.3114	11.684	20.83	4.77
27.55	27240	0.233	11.939	21.17	4.85
27.7	25695	0.2198	11.913	21.28	4.88
29.6	75013	0.6417	12.096	22.75	5.21
29.6	64317	0.5502	11.868	22.75	5.21
29.9	66857	0.5719	11.825	22.97	5.26
28.43	46543	0.3982	11.578	21.85	5.01
29.02	29953	0.2562	11.588	22.3	5.11
30.92	64582	0.5525	12.049	23.76	5.44
29.75	32894	0.2814	11.66	22.86	5.24
29.46	45779	0.3916	11.257	22.64	5.19
28.87	37765	0.3231	11.251	22.18	5.08
28.73	33991	0.2908	11.353	22.07	5.06
26.82	67955	0.5813	10.889	20.61	4.72
26.53	27019	0.2311	10.649	20.38	4.67
26.82	36982	0.3164	10.672	20.61	4.72
26.97	18753	0.1604	10.661	20.72	4.75
28.73	28428	0.2432	11.017	22.07	5.06
27.55	22890	0.1958	10.818	21.17	4.85
29.46	50011	0.4278	11.157	22.64	5.19
28.73	40807	0.3491	10.985	22.07	5.06
28.14	12328	0.1055	10.956	21.62	4.95
28.14	12117	0.1037	10.895	21.62	4.95
28.58	17962	0.1537	11.104	21.96	5.03
27.41	25218	0.2157	11.002	21.06	4.82
26.67	27379	0.2342	10.768	20.5	4.7
26.09	25333	0.2167	10.551	20.05	4.59
26.38	21852	0.1869	10.748	20.27	4.64
24.62	51618	0.4416	10.332	18.92	4.33
24.48	28280	0.2419	10.27	18.81	4.31
24.77	24460	0.2093	10.189	19.03	4.36
25.94	33996	0.2908	10.623	19.93	4.57
26.97	41039	0.3511	10.772	20.72	4.75
26.53	15516	0.1327	10.715	20.38	4.67
25.79	15996	0.1368	10.475	19.82	4.54
25.06	17285	0.1479	10.356	19.26	4.41
25.5	29638	0.2535	10.489	19.59	4.49
25.35	19723	0.1687	10.34	19.48	4.46
25.79	19962	0.1708	10.365	19.82	4.54
25.94	19380	0.1658	10.351	19.93	4.57
25.5	9232	0.079	10.432	19.59	4.49
25.21	13747	0.1176	10.31	19.37	4.44
24.91	14761	0.1263	10.226	19.14	4.39
25.35	19354	0.1656	10.211	19.48	4.46
26.53	65306	0.5587	10.555	20.38	4.67
26.38	24844	0.2125	10.328	20.27	4.64
26.23	30945	0.2647	10.292	20.16	4.62
26.09	18319	0.1567	10.349	20.05	4.59
25.79	13727	0.1174	10.207	19.82	4.54
25.94	15072	0.1289	10.332	19.93	4.57
24.91	15134	0.1295	10.26	19.14	4.39
23.89	39334	0.3365	10.128	18.36	4.21
23.3	30382	0.2599	9.954	17.91	4.1
24.18	23851	0.204	10.125	18.58	4.26
23.45	14397	0.1232	10.025	18.02	4.13
23.16	18465	0.158	9.989	17.79	4.08
24.33	18240	0.156	10.275	18.69	4.28
25.21	49501	0.4235	10.521	19.37	4.44
24.91	17097	0.1463	10.47	19.14	4.39
24.62	7672	0.0656	10.467	18.92	4.33
24.48	10099	0.0864	10.405	18.81	4.31
24.91	20833	0.1782	10.445	19.14	4.39
26.53	83444	0.7138	10.923	20.38	4.67
26.53	38894	0.3327	10.946	20.38	4.67
26.38	13744	0.1176	10.884	20.27	4.64
25.79	15351	0.1313	10.658	19.82	4.54
25.35	12042	0.103	10.615	19.48	4.46
26.09	18108	0.1549	10.917	20.05	4.59
25.5	12753	0.1091	10.872	19.59	4.49
26.67	52338	0.4477	11.446	20.5	4.7
28.14	99763	0.8535	12.226	21.62	4.95
28.29	38569	0.3299	12.06	21.73	4.98
27.26	22972	0.1965	11.98	20.95	4.8
27.85	32850	0.281	12.255	21.4	4.9
27.7	28609	0.2447	12.317	21.28	4.88
27.85	17574	0.1503	12.25	21.4	4.9
27.11	18467	0.158	12.185	17.03	4.77
27.55	18304	0.1566	12.12	17.31	4.85
27.11	11507	0.0984	12.056	17.03	4.77
26.23	24417	0.2089	11.704	16.48	4.62
25.79	17189	0.147	11.676	16.21	4.54
26.09	13667	0.1169	11.667	16.39	4.59
26.53	27333	0.2338	11.938	16.67	4.67
25.94	15341	0.1312	12.034	16.3	4.57
26.38	18146	0.1552	12.155	16.57	4.64
27.7	22366	0.1913	12.228	17.4	4.88
27.55	16251	0.139	12.126	17.31	4.85
27.7	16594	0.142	12.325	17.4	4.88
27.26	7884	0.0674	12.345	17.13	4.8
27.26	14452	0.1236	12.308	17.13	4.8
26.38	14279	0.1222	12.001	16.57	4.64
26.23	15592	0.1334	11.953	16.48	4.62
26.09	11687	0.1	11.95	16.39	3.85
26.38	11051	0.0945	12.153	16.57	3.9
26.67	8292	0.0709	12.095	16.76	3.94
27.41	20906	0.1788	12.057	17.22	4.05
27.26	17821	0.1525	12.148	17.13	4.03
28.43	46786	0.4002	12.495	17.86	4.2
29.02	20527	0.1756	12.641	18.23	4.29
28.43	17746	0.1518	12.397	17.86	4.2
27.55	16723	0.1431	12.143	17.31	4.07
27.11	15717	0.1345	12.161	17.03	4
27.41	9638	0.0825	12.197	17.22	4.05
26.97	38122	0.3261	12.21	16.94	3.98
26.53	25556	0.2186	12.083	16.67	3.92
26.38	11940	0.1021	12.027	16.57	3.9
25.21	29068	0.2487	11.596	15.84	3.72
24.91	34403	0.2943	11.649	15.65	3.68
25.63	54003	0.3208	12.331	11.23	3.8
26.68	32470	0.1929	12.73	16.84	3.96
25.84	26436	0.1571	12.476	16.31	3.83
26.89	30245	0.1797	12.678	16.98	3.99
28.15	35099	0.2085	13.213	17.77	4.18
27.94	16971	0.1008	13.23	17.64	4.15
27.52	15033	0.0893	13.318	17.37	4.08
27.52	9018	0.0536	13.402	17.37	4.08
26.47	22813	0.1355	12.897	16.71	3.93
25.63	34991	0.2079	12.622	16.18	3.8
25.84	27226	0.1617	12.837	16.31	3.83
25.84	19212	0.1141	13.03	16.31	3.83
26.68	25376	0.1508	13.206	16.84	3.96
26.47	46903	0.2786	13.522	16.71	3.93
26.47	29285	0.174	13.884	16.71	3.93
26.26	22065	0.1311	13.763	16.58	3.9
26.05	22568	0.1341	14.144	16.45	3.86
25.63	29483	0.1752	14.011	16.18	3.8
25.42	27171	0.1614	13.798	16.05	3.77
24.37	34934	0.2075	13.446	15.38	3.62
24.16	29247	0.1738	13.696	15.25	3.58
24.79	24208	0.1438	13.728	15.65	3.68
25.42	29197	0.1735	13.54	16.05	3.77
26.68	87777	0.5215	14.145	16.84	3.96
27.73	57989	0.3445	14.592	17.51	4.11
28.78	77404	0.4598	15.128	18.17	4.27
29.62	55827	0.3317	15.102	18.7	4.39
28.99	38817	0.2306	14.648	18.3	4.3
28.57	26205	0.1557	14.629	18.04	4.24
27.73	25683	0.1526	14.413	17.51	4.11
28.36	19092	0.1134	14.381	17.9	4.21
27.31	16385	0.0973	14.053	17.24	4.05
28.78	28815	0.1712	14.715	18.17	4.27
28.57	12791	0.076	14.466	18.04	4.24
28.99	17061	0.1014	14.459	18.3	4.3
28.78	21107	0.1254	14.25	18.17	4.27
28.57	12632	0.075	13.951	18.04	4.24
28.36	13542	0.0805	13.995	17.9	4.21
27.73	30386	0.1805	13.947	17.51	4.11
27.94	16012	0.0951	14.015	17.64	4.15
26.05	73825	0.4386	13.285	16.45	3.86
26.05	61698	0.3665	13.368	16.45	3.86
25.42	52016	0.309	13.497	16.05	3.77
26.68	97158	0.5772	13.927	16.84	3.96
26.47	54586	0.3243	13.868	16.71	3.93
27.1	55721	0.331	13.757	17.11	4.02
26.47	28603	0.1699	13.452	16.71	3.93
26.89	28087	0.1669	13.649	21.4	3.99
26.89	21932	0.1303	13.591	21.4	3.99
27.73	29308	0.1741	13.895	22.07	4.11
27.52	25301	0.1503	14.003	21.91	4.08
26.89	18072	0.1074	13.961	21.4	3.99
26.47	23561	0.14	13.858	21.07	3.93
26.89	15961	0.0948	14.121	21.4	3.99
26.47	16418	0.0975	14.274	21.07	3.93
24.79	21823	0.1296	14.127	19.73	3.68
23.32	55315	0.3286	13.915	18.56	3.46
22.69	4384	0.026	13.516	18.06	3.37
22.06	2744	0.0163	13.433	17.56	3.27
21.43	1466	0.0087	13.438	17.06	3.18
19.96	55115	0.3274	12.722	15.89	2.96
19.92	102011	0.606	12.84	15.85	2.95
20.38	77457	0.4602	12.66	16.22	3.02
19.54	29503	0.1753	12.336	15.55	2.9
19.62	60334	0.3584	12.152	15.62	2.91
18.91	37730	0.2241	12.196	15.05	2.8
18.53	28119	0.1671	12.114	14.75	2.74
18.61	60349	0.3585	12.004	14.82	2.75
19.66	50927	0.3026	12.357	15.65	2.91
19.33	20759	0.1233	12.37	15.38	2.86
20.67	48331	0.2871	12.871	16.45	3.06
22.06	39672	0.2357	13.114	17.56	3.26
23.11	82368	0.4893	13.697	18.39	3.42
22.48	25785	0.1532	13.642	17.89	3.32
23.32	23683	0.1407	13.846	18.56	3.45
24.37	72746	0.4322	14.385	19.4	3.6
25	48185	0.2863	14.78	19.9	3.7
24.58	48975	0.291	14.403	19.57	3.63
24.37	30107	0.1789	14.079	19.4	3.6
24.16	33446	0.1987	14.052	19.23	3.57
25.84	74839	0.4446	14.607	20.57	3.82
26.26	56278	0.3343	14.75	20.9	3.88
26.47	35624	0.2116	14.753	21.07	3.91
28.15	89805	0.5335	15.606	22.41	4.16
26.26	58138	0.3454	15.114	20.9	3.88
25.63	48995	0.2911	14.796	20.4	3.79
25.63	38059	0.2261	14.354	20.4	3.79
26.26	60477	0.3593	14.453	20.9	3.88
27.31	40983	0.2435	14.729	21.74	4.04
27.52	65063	0.3865	14.834	21.91	4.07
28.15	35238	0.2093	14.901	22.41	4.16
28.36	55039	0.327	15.096	22.58	4.19
28.57	51625	0.3067	15.249	22.74	4.22
28.57	33769	0.2006	15.071	22.74	4.22
28.36	17988	0.1069	15.09	22.58	4.19
30.25	94035	0.5586	15.565	24.08	4.47
31.3	71901	0.4272	15.645	24.92	4.63
32.56	87080	0.5173	16.118	25.92	4.81
33.4	55840	0.3317	16.163	26.59	4.94
31.3	61105	0.363	15.462	24.92	4.63
31.72	64020	0.3803	15.402	25.25	4.69
30.67	43928	0.261	15.171	24.41	4.53
30.88	38101	0.2264	15.041	24.58	4.57
31.09	59653	0.3544	14.85	24.75	4.6
31.72	117165	0.6961	15.244	25.25	4.69
31.09	46211	0.2745	15.387	24.75	4.6
30.67	44160	0.2623	15.122	24.41	4.53
30.67	68113	0.4047	15.207	39.04	4.53
32.56	53626	0.3186	15.429	41.44	4.79
32.98	49445	0.2937	15.233	41.98	4.85
35.08	115585	0.6867	15.682	44.65	5.16
37.39	109188	0.6487	15.803	47.59	5.5
37.18	66339	0.3941	15.66	47.33	5.47
35.29	60696	0.3606	14.899	44.92	5.2
35.92	53638	0.3187	15.301	45.72	5.29
37.18	66427	0.3946	15.079	47.33	5.47
35.29	59065	0.3509	14.661	44.92	5.2
35.08	41267	0.2452	14.364	44.65	5.16
34.03	35239	0.2094	13.997	43.32	5.01
34.66	50808	0.3018	14.883	44.12	5.1
35.92	53577	0.3183	15.853	45.72	5.29
35.92	46441	0.2759	15.591	45.72	5.29
33.61	103683	0.616	15.159	42.78	4.95
34.03	39099	0.2323	15.184	43.32	5.01
35.08	31647	0.188	15.046	44.65	5.16
34.66	28483	0.1692	14.811	44.12	5.1
34.45	41741	0.248	14.886	43.85	5.07
35.71	50962	0.3028	14.943	45.45	5.26
36.76	79976	0.4751	14.435	46.79	5.41
36.13	35537	0.2111	14.058	45.99	5.32
35.92	41163	0.2445	14.163	45.72	5.29
37.39	90626	0.5384	14.449	47.59	5.5
38.86	80754	0.4797	14.514	49.47	5.72
38.02	37406	0.2222	14.261	48.4	5.6
38.44	40632	0.2414	14.283	48.93	5.66
38.02	28875	0.1715	14.111	48.4	5.6
36.76	39266	0.2333	14.084	46.79	5.41
36.97	26780	0.1591	14.356	47.06	5.44
36.76	20635	0.1226	14.323	46.79	5.41
35.71	35413	0.2104	14.211	45.45	5.26
35.5	41602	0.2472	14.094	45.19	5.23
35.71	36224	0.2152	14.122	45.45	5.26
38.02	60049	0.3567	14.323	48.4	5.6
37.81	72395	0.4301	14.228	48.13	5.57
37.18	67514	0.4011	14.171	47.33	5.47
38.02	51190	0.3041	14.397	48.4	5.6
38.65	73840	0.4387	14.27	49.2	5.69
38.65	49638	0.2949	14.095	49.2	5.69
37.39	33072	0.1965	14.011	47.59	5.5
36.55	41246	0.245	13.817	46.52	5.38
36.76	66249	0.3936	13.818	46.79	5.41
35.92	58389	0.3469	13.531	45.72	5.29
36.13	27223	0.1617	13.52	45.99	5.32
35.92	24328	0.1445	13.453	45.72	5.29
36.34	39705	0.2359	13.42	46.26	5.35
36.76	44642	0.2652	13.439	46.79	5.41
35.92	28071	0.1668	13.308	45.72	5.29
34.45	36392	0.2162	13.144	43.85	5.07
34.66	30139	0.1791	13.308	44.12	5.1
34.24	25489	0.1514	13.255	43.58	5.04
34.03	18712	0.1112	13.411	43.32	5.01
33.61	35841	0.2129	13.271	42.78	4.95
34.45	41710	0.2478	13.133	43.85	5.07
34.03	42670	0.2535	12.981	43.32	5.01
36.34	54644	0.3246	13.405	46.26	5.35
38.23	100668	0.5981	13.906	48.66	5.63
39.7	100934	0.5996	14.109	50.53	5.84
39.28	67607	0.4016	14.074	50	5.78
38.44	47491	0.2821	13.857	48.93	5.66
40.96	79812	0.4742	14.325	52.14	6.03
39.91	45967	0.2731	14.126	50.8	5.88
39.49	30989	0.1841	14.056	50.27	5.81
39.07	34761	0.2065	13.964	49.73	5.75
38.02	52508	0.3119	13.861	48.4	5.6
38.44	21949	0.1304	13.966	48.93	5.66
38.44	26238	0.1559	14.121	48.93	5.66
40.33	50573	0.3004	14.443	51.34	5.94
39.49	33546	0.1993	14.289	50.27	5.81
39.91	32436	0.1927	14.214	50.8	5.88
40.33	28145	0.1672	14.181	51.34	5.94
39.7	19333	0.1149	13.888	50.53	5.84
38.86	28045	0.1666	13.689	49.47	5.72
39.91	37530	0.223	13.918	50.8	5.88
40.54	47421	0.2817	14.238	51.6	5.97
40.12	16545	0.0983	14.008	51.07	5.91
40.33	29761	0.1768	13.953	51.34	5.94
39.91	28485	0.1692	13.696	50.8	5.88
38.86	38106	0.2264	13.522	49.47	5.72
38.44	34787	0.2067	13.41	48.93	5.66
38.44	22013	0.1308	13.678	48.93	5.66
38.02	43252	0.257	13.565	48.4	5.6
37.81	36815	0.2187	13.457	48.13	5.57
38.65	38855	0.2308	13.513	49.2	5.69
38.44	25323	0.1504	13.41	48.93	5.66
38.86	18618	0.1106	13.423	49.47	5.72
40.33	67280	0.3997	13.641	51.34	5.94
40.12	24309	0.1444	13.577	51.07	5.91
