縩秨絃基	縩程蔼基	縩程基	縩Μ絃基	縩Θユ秖	縩秅锣瞯	縩カゑ   縩セ痲ゑ	縩基瞓ゑ
47.65	50.4	44.98	47.37	1246	4.827	9.123	13.09	3.62
47.65	49.27	46.25	48.71	596	2.3074	9.144	13.46	3.72
46.88	49.76	44.49	47.72	1956	7.5756	9.026	13.18	3.65
47.65	49.55	47.23	48.29	755	2.9226	9.112	13.96	3.69
48.29	48.92	46.6	47.93	1080	4.181	8.722	15.57	3.66
48.36	53.22	47.9	53.14	1546	5.8542	8.515	16.53	3.54
53.14	54.79	47.3	48.72	1566	5.9262	7.505	15.15	3.25
47.97	48.35	43.92	47	1530	5.7926	7.432	15.83	3.13
47	47.9	45.2	47.45	754	2.8555	7.188	15.98	3.16
47.6	49.17	44.67	47.82	1287	4.8702	7.099	16.44	3.58
48.27	48.27	43.03	45.42	1441	5.4551	7.612	15.62	3.4
45.5	47.6	43.92	46.47	1735	6.5689	7.951	15.98	3.27
46.47	46.47	37.18	44.9	1534	5.8059	8.625	15.44	3.16
45.72	47.67	44.75	46.17	884	3.4524	7.759	15.88	3.15
45.05	51.95	44.6	47.3	1398	5.4573	7.575	15.28	3.23
46.85	50.6	46.32	50	1082	4.2242	7.601	15.66	3.41
50.97	52.32	48.35	49.17	1446	5.6426	7.688	14.2	3.35
49.85	51.65	46.92	48.72	1478	5.7685	8.704	14.07	3.27
47.97	48.8	42.84	45.25	1332	5.0962	8.214	12.41	2.89
44.29	50.08	44.29	47.43	1539	5.9426	8.519	12.64	3.02
46.38	46.38	40.1	42.27	1609	6.2126	9.342	11.27	2.67
43.48	43.48	29.39	38.65	1475	5.6976	10.024	10.21	2.81
39.86	39.86	29.31	32.85	1230	4.801	9.221	8.66	2.36
32.05	37.12	29.39	35.75	1289	5.0338	9.733	9.43	2.46
37.04	37.93	31.16	32.37	790	3.0834	9.532	8.45	2.23
33.17	37.8	32.65	36.19	1434	5.5987	9.908	9.44	2.49
37.04	42.68	35.55	41.39	1580	6.1688	10.493	13.18	2.85
41.79	44.45	39.94	44.45	1801	7.028	9.795	14.15	3.06
47.43	49.04	43.64	48.63	1765	6.8878	8.918	21.12	3.35
48.72	48.8	41.07	44.04	1652	6.4469	8.647	19.13	2.91
43.72	50.64	43.16	50.38	1495	5.7752	8.523	20.67	3.17
50.12	51.15	48.33	50.64	998	3.855	8.89	22.17	3.18
50.81	55.6	50.21	55.17	1200	4.6365	8.82	24.16	3.47
55.6	55.77	50.46	51.32	1492	5.7608	8.379	22.47	3.58
50.89	54.06	50.46	52.26	1133	4.3778	8.167	22.97	3.65
52.6	55.17	51.66	55.17	1038	4.0092	7.943	24.25	3.61
55.6	55.68	50.81	52.6	1018	3.933	8.369	23.12	3.44
51.92	51.92	48.75	50.29	726	2.8027	8.205	22.11	3.29
50.89	53.37	49.78	52.6	1132	4.3726	8.045	17.88	3.44
52.6	55.51	52	52.86	1059	4.0912	7.727	17.97	3.46
53.54	53.54	49.35	51.49	986	3.8098	8.269	12.86	3.37
51.23	54.48	49.87	51.83	906	3.5008	8.32	12.95	2.97
51.83	56.74	51.23	56.11	1074	4.148	8.075	13.33	3.06
56.29	56.47	52.52	52.97	989	3.8208	7.725	11.11	2.89
53.33	56.02	52.79	55.75	1028	3.9681	7.503	11.7	3.04
55.93	56.74	54.05	56.47	811	3.1312	7.565	11.87	3.3
57.01	58.18	56.65	57.01	839	3.2401	7.529	10.69	3.33
57.37	67.45	57.37	63.85	1496	5.7763	7.797	11.97	3.43
64.3	70.41	62.59	68.61	1353	5.2238	8.423	12.87	3.68
69.24	69.24	62.86	63.4	1033	3.989	8.219	11.89	3.4
62.95	64.93	59.08	63.49	1268	4.8942	7.919	11.91	3.41
63.58	66.46	61.15	65.83	983	3.794	7.916	11.73	3.54
66.46	69.15	65.65	68.97	987	3.8097	8.309	12.1	3.7
68.61	70.32	64.39	67.73	1295	4.9983	8.111	11.39	3.08
67.73	69.32	64.26	67.54	1027	3.9652	8.077	11.36	3.07
67.54	68.29	58.35	65.1	1270	4.9018	8.682	11.25	2.96
65.1	67.64	61.82	65.67	1073	4.1443	9.561	11.35	2.99
65.67	69.42	63.88	69.04	847	3.2715	9.531	13.31	3.38
68.95	71.29	66.89	69.98	883	3.41	10.646	13.49	3.43
70.82	72.04	67.54	71.11	715	2.762	10.275	13.71	3.28
70.36	74.58	69.98	73.64	750	2.8945	9.988	14.2	3.4
72.7	76.08	70.92	76.08	974	3.7597	9.502	14.67	3.51
75.98	81.14	73.45	79.64	825	3.1838	10.179	16.39	3.68
79.55	84.24	76.45	81.43	752	2.9017	11.004	16.76	3.76
81.61	83.49	73.26	79.83	947	3.6572	11.058	16.79	3.68
76.64	76.64	71.39	76.27	876	3.3809	10.562	16.04	3.19
76.45	79.86	71.79	78.79	1154	4.4529	10.558	15.98	3.18
77.92	81.61	77.04	81.03	744	2.8707	10.615	15.72	3.27
81.22	87.35	78.79	87.35	744	2.8702	10.978	16.94	3.52
86.77	88.81	82.2	86.28	798	3.0814	11.672	14.73	3.66
86.18	96.11	85.31	96.01	843	3.2544	12.299	16.4	4.08
95.62	96.69	92.02	94.35	695	2.6835	11.858	16.11	3.73
94.94	99.22	94.45	98.73	770	2.9707	12.131	16.86	3.9
98.73	106.51	97.76	101.65	474	1.83	12.368	16.3	4.02
100.19	102.14	95.33	97.76	837	3.2313	11.83	15.68	3.86
98.25	106.51	94.84	106.51	747	2.8844	12.6	17.08	4.21
107	113.32	105.05	106.51	629	2.4261	12.325	16.49	4.21
105.05	107.97	97.27	107.97	729	2.8138	12.787	16.72	3.74
106.03	110	96.9	102.5	1069	4.1243	11.725	15.44	3.46
102	103	92.9	100.5	837	3.2313	11.614	14.3	3.39
100	106	99.6	100.5	643	2.4801	11.397	14.3	3.39
100.5	111.5	100.5	109.5	649	2.5037	11.993	15.58	3.8
110.5	110.5	100	105	616	2.3772	11.481	14.73	3.65
105	106	101	105.5	566	2.1864	11.239	14.8	3.4
105	108.5	100.5	105	639	2.4671	11.389	14.73	3.39
102	108.5	100.5	108	708	2.7341	11.402	14.88	3.48
108	118.5	106.5	118.5	947	3.6541	12.193	16.32	3.82
119	123	116.5	118.5	737	2.8445	12.255	16.32	3.82
119	124	116	119.5	644	2.4849	11.947	15.77	3.85
120	127	120	126.5	564	2.1787	12.195	16.69	3.65
