8058	8072	8038	8072	8072	188.11	8260.11
8067	8096	8056	8083	8083	175.95	8258.95
8093	8096	8028	8038	8038	156.88	8194.88
8028	8028	7897	7898	7897	165.03	8062.03
7900	7988	7900	7959	7958	147.45	8105.45
8012	8093	8008	8072	8074	140.65	8214.65
8055	8079	8048	8065	8065	131.19	8196.19
8015	8092	8000	8048	8048	115.58	8163.58
7985	8121	7985	8041	8041	108.4	8149.4
8041	8042	7963	7973	7972	112.5	8084.5
8022	8084	8011	8068	8068	95.55	8163.55
8061	8069	7990	7990	7993	114.94	8107.94
7999	8015	7950	7988	7988	68.22	8056.22
8061	8082	8000	8005	8003	96.88	8099.88
8030	8049	7967	8043	8043	95.63	8138.63
8002	8005	7918	7932	7932	106.91	8038.91
7880	7880	7781	7781	7781	140.29	7921.29
7808	7822	7777	7777	7778	129.67	7907.67
7787	7802	7730	7749	7749	107.14	7856.14
7770	7801	7750	7785	7785	118.38	7903.38
7810	7887	7810	7880	7880	106.27	7986.27
7880	7880	7817	7854	7854	97.33	7951.33
7805	7805	7729	7774	7774	113.26	7887.26
7715	7855	7715	7824	7825	100	7925
7800	7809	7768	7793	7793	107.21	7900.21
7764	7817	7698	7700	7699	133.65	7832.65
7560	7674	7560	7648	7648	166.38	7814.38
7683	7754	7683	7727	7725	148.31	7873.31
7755	7783	7735	7766	7766	128.97	7894.97
7786	7786	7691	7696	7696	124.84	7820.84
7625	7715	7625	7715	7715	109.54	7824.54
7735	7835	7730	7830	7831	86.66	7917.66
7834	7916	7825	7911	7912	109.89	8021.89
7930	7961	7899	7959	7959	79.86	8038.86
7992	8018	7972	7996	7996	92.37	8088.37
7963	8015	7945	8014	8014	69.44	8083.44
8024	8080	8016	8073	8073	96.1	8169.1
8099	8099	8065	8076	8077	87.2	8164.2
8100	8119	8032	8100	8100	92.11	8192.11
8131	8157	8078	8108	8108	100.77	8208.77
8135	8135	8072	8130	8130	78.99	8208.99
8110	8157	8110	8136	8136	89.36	8225.36
8138	8157	8089	8089	8089	79.2	8168.2
8118	8118	8093	8106	8106	36.48	8142.48
8130	8206	8130	8199	8197	58.34	8255.34
8104	8183	8104	8181	8181	68.78	8249.78
8190	8212	8135	8140	8140	69.18	8209.18
8111	8224	8111	8214	8214	78.83	8292.83
8188	8225	8180	8223	8221	78.12	8299.12
8225	8225	8177	8186	8186	97.9	8283.9
8158	8193	8115	8135	8133	51.68	8184.68
8133	8156	8131	8136	8136	94.68	8230.68
8096	8100	8035	8068	8068	105.87	8173.87
8100	8115	8083	8090	8090	97.02	8187.02
8130	8130	8100	8100	8101	115.52	8216.52
8102	8331	8102	8331	8331	28.02	8359.02
8350	8352	8308	8333	8333	31.55	8364.55
8350	8350	8260	8286	8286	47.66	8333.66
8265	8344	8248	8337	8337	38.65	8375.65
8297	8336	8283	8300	8299	45.73	8344.73
8445	8445	8326	8330	8327	22.37	8349.37
8328	8328	8242	8259	8258	15.96	8273.96
8321	8345	8306	8323	8323	44.88	8367.88
8323	8343	8305	8312	8312	20.18	8332.18
8372	8399	8334	8343	8344	30.68	8374.68
8351	8405	8351	8394	8395	46.19	8441.19
8425	8425	8374	8380	8381	38.32	8419.32
8360	8400	8332	8397	8396	22.27	8418.27
8410	8417	8322	8338	8339	54.62	8393.62
8329	8377	8307	8371	8372	41.72	8413.72
8339	8343	8271	8299	8298	48.62	8346.62
8308	8390	8300	8369	8368	39.83	8407.83
8352	8412	8338	8387	8387	33.98	8420.98
8411	8437	8385	8421	8420	45.06	8465.06
8400	8442	8389	8409	8408	42.06	8450.06
8441	8455	8353	8373	8372	16.18	8388.18
8342	8350	8295	8318	8318	36.14	8354.14
8321	8332	8236	8247	8248	14.2	8262.2
8265	8268	8212	8250	8251	30.97	8281.97
8251	8257	8205	8238	8238	45.71	8283.71
8218	8248	8193	8203	8205	24.59	8229.59
8217	8217	8167	8182	8181	1.56	8182.56
8200	8234	8165	8207	8206	-10.74	8195.26
8185	8185	8089	8094	8093	11.26	8104.26
8125	8137	8066	8103	8101	33.91	8134.91
8150	8190	8122	8135	8136	41.12	8177.12
8169	8202	8158	8168	8169	22.46	8191.46
8198	8238	8190	8232	8230	30.21	8260.21
8220	8241	8202	8207	8207	-2.54	8204.46
8166	8170	8062	8078	8078	21.45	8099.45
8078	8110	8076	8086	8087	29.78	8116.78
8145	8218	8142	8195	8192	-4.49	8187.51
8166	8277	8154	8249	8245	3.02	8248.02
8236	8300	8232	8299	8297	-1.12	8295.88
8350	8392	8338	8378	8377	-14.57	8362.43
8375	8428	8372	8427	8425	-18.17	8406.83
8431	8447	8391	8413	8411	3.61	8414.61
8392	8424	8378	8409	8408	-15.45	8392.55
8375	8449	8372	8436	8434	-16	8418
8423	8443	8352	8379	8378	-2.46	8375.54
8377	8409	8354	8384	8384	-16.28	8367.72
8455	8495	8445	8456	8456	-11.38	8444.62
8431	8458	8427	8455	8454	-10.61	8443.39
8458	8510	8422	8432	8432	1.77	8433.77
8390	8406	8358	8392	8392	-30.67	8361.33
8359	8404	8352	8397	8396	-19.06	8376.94
8375	8385	8325	8336	8334	-20.13	8313.87
8383	8385	8358	8362	8361	-8.07	8352.93
8380	8380	8338	8338	8338	11.04	8349.04
