TSMC	TWI
4.28	5207.12
4.26	5260.78
4.04	5165.36
4	5108.93
4.08	5115.82
3.95	5015.61
4	5038.98
4.06	5081
4.04	5033.07
4.06	4941.42
4.02	4953.56
4.02	4937.98
4.04	4975.44
4.06	4995.79
4.04	4990.57
3.97	4936.77
3.82	4897.45
3.65	4817.04
3.65	4801.66
3.76	4826.64
3.78	4819.99
3.78	4814.35
3.82	4862.59
3.76	4825.19
3.67	4773.7
3.69	4717.48
3.67	4694.96
3.71	4718.6
3.69	4630.97
3.61	4608.7
3.54	4639.28
3.34	4566.08
3.43	4583.49
3.41	4565.72
3.52	4621.67
3.5	4629.27
3.43	4574.83
3.43	4586.75
3.52	4663.81
3.61	4769.04
3.61	4766.69
3.61	4700.88
3.61	4777.2
3.67	4809.94
3.61	4745.89
3.63	4772.97
3.54	4722.93
3.61	4748.64
3.71	4836.04
3.71	4884.92
3.69	4958.13
3.71	4959.4
3.71	5018.01
3.71	5064.99
3.65	5053.9
3.63	5029.61
3.63	5112.92
3.58	5082.17
3.56	4964.84
3.56	5093.85
3.65	5091.94
3.67	5163.28
3.61	5105.37
3.61	5071.55
3.63	5108.18
3.71	5158.65
3.69	5173.73
3.63	5146.04
3.39	4799.3
3.37	4847.21
3.43	4934.86
3.39	4911.99
3.3	4862.35
3.3	4942.62
3.24	4962.8
3.3	5025.3
3.34	5027.01
3.3	5015.36
3.28	5017.48
3.26	5028.2
3.28	5016.76
3.39	5037.25
3.39	5039
3.39	5008.25
3.37	5013.72
3.3	4940.07
3.32	4935.09
3.34	4861.53
3.26	4692.3
3.32	4803.8
3.32	4763.4
3.32	4775.28
3.34	4791.32
3.34	4790.08
3.34	4759.25
3.28	4690.22
3.3	4758.83
3.26	4741.46
3.45	4764.95
3.43	4776.03
3.54	4866.81
3.58	4857.27
3.54	4836.39
3.54	4809.02
3.5	4865
3.5	4837.63
3.48	4775.86
3.39	4769.64
3.3	4751.19
3.37	4797.67
3.45	4877.38
3.41	4854.9
3.37	4855.23
3.21	4792.74
3.11	4725.81
3.04	4750.74
