Date,Open,High,Low,Close,Volume,Adj Close
2014-08-01,85.61,86.92,80.06,84.15,467200,84.15
2014-07-01,85.60,89.89,84.48,86.14,558800,86.14
2014-06-02,73.56,84.89,72.14,84.60,542300,84.60
2014-05-01,79.12,81.35,72.69,73.93,418200,73.93
2014-04-01,74.95,81.63,74.60,80.07,659100,80.07
2014-03-03,82.13,85.48,74.04,75.00,804700,75.00
2014-02-03,71.80,81.89,70.11,79.04,946500,78.55
2014-01-02,63.37,71.50,59.19,68.90,880100,68.48
2013-12-02,69.09,69.25,60.90,62.81,810300,62.42
2013-11-01,73.15,79.33,67.52,70.75,943600,70.32
2013-10-01,69.60,79.77,67.68,73.90,783000,73.45
2013-09-03,79.68,80.43,69.79,71.53,1032600,71.09
2013-08-01,75.10,84.61,66.05,78.02,1030100,77.54
2013-07-01,63.82,75.41,60.17,74.27,1143200,73.81
2013-06-03,78.50,80.50,60.44,64.00,1042500,63.61
2013-05-01,80.90,81.53,70.92,78.38,919900,77.90
2013-04-01,85.64,85.69,66.51,81.78,1067300,80.76
2013-03-01,81.88,86.66,79.51,85.98,617100,84.91
2013-02-01,95.85,100.78,81.31,82.87,589400,81.83
2013-01-02,101.14,102.02,91.91,94.16,512300,92.98
2012-12-03,107.62,107.86,96.26,99.21,503100,97.97
2012-11-01,119.73,122.29,100.06,107.36,566000,106.02
2012-10-01,123.43,127.27,116.74,119.59,558500,118.10
2012-09-04,102.10,124.80,100.68,123.00,888100,121.46
2012-08-01,89.73,103.61,86.85,102.97,466300,101.68
2012-07-02,89.89,94.10,82.52,89.48,505300,88.36
2012-06-01,80.58,96.70,80.58,90.01,917200,88.89
2012-05-01,87.26,88.83,72.91,79.35,757000,78.36
2012-04-02,85.00,92.53,80.14,89.15,853000,87.58
2012-03-01,115.69,117.28,85.33,87.98,1125300,86.43
2012-02-01,115.81,119.73,108.63,114.73,517900,112.71
2012-01-03,105.69,115.44,105.21,114.41,476900,112.40
2011-12-01,106.72,109.64,97.15,102.10,568700,100.31
2011-11-01,106.56,120.73,95.75,106.91,801300,105.03
2011-10-03,100.06,114.58,89.90,109.57,673200,107.64
2011-09-01,104.62,115.00,92.50,96.72,1005600,95.02
2011-08-01,90.59,114.50,89.43,105.55,1378100,103.69
2011-07-01,83.33,93.57,82.05,90.81,645300,89.21
2011-06-01,81.83,84.48,73.10,84.05,657000,82.57
2011-05-02,85.89,86.34,74.53,81.96,678700,80.52
2011-04-01,81.07,88.68,80.60,86.57,786900,84.83
2011-03-01,82.16,82.79,70.18,81.54,922500,79.91
2011-02-01,77.48,83.55,76.85,80.95,774700,79.33
2011-01-03,82.60,83.55,75.05,76.49,1052100,74.96
2010-12-01,94.89,95.72,80.66,82.33,787600,80.68
2010-11-01,94.80,101.92,92.00,94.06,799700,92.17
2010-10-01,102.11,106.44,90.48,93.92,834000,92.04
2010-09-01,93.58,104.22,90.74,101.46,724400,99.43
2010-08-02,90.38,93.74,85.11,92.49,677500,90.64
2010-07-01,94.71,96.21,87.08,89.88,810200,88.08
2010-06-01,88.79,99.67,85.01,94.75,1169400,92.85
2010-05-03,84.79,91.75,78.50,87.45,1343900,85.70
2010-04-01,78.64,86.11,77.39,84.24,905400,82.55
2010-03-01,71.28,79.06,71.15,76.83,957800,75.29
2010-02-01,70.39,74.81,64.91,72.01,1090800,70.57
2010-01-04,82.25,86.63,68.59,68.93,1014100,67.38
