Date,Open,High,Low,Close,Volume,Adj Close
2014-08-25,80.97,84.35,80.06,84.15,417200,84.15
2014-08-18,84.36,84.71,80.68,81.09,433400,81.09
2014-08-11,85.12,86.32,83.62,84.60,441200,84.60
2014-08-04,85.32,86.92,84.13,84.80,499100,84.80
2014-07-28,87.58,89.18,85.01,85.86,422000,85.86
2014-07-21,87.82,88.25,85.45,87.37,377400,87.37
2014-07-14,86.92,88.22,85.09,87.43,594300,87.43
2014-07-07,85.45,89.89,84.91,89.34,741100,89.34
2014-06-30,82.91,86.67,82.52,86.31,592800,86.31
2014-06-23,82.36,84.80,81.60,83.34,610400,83.34
2014-06-16,78.36,82.94,77.33,82.25,675500,82.25
2014-06-09,73.74,77.74,73.29,77.51,403300,77.51
2014-06-02,73.56,74.44,72.14,73.39,358800,73.39
2014-05-27,75.55,75.93,72.69,73.93,550700,73.93
2014-05-19,76.86,76.97,74.82,75.45,246600,75.45
2014-05-12,77.54,78.14,75.48,75.95,328700,75.95
2014-05-05,80.80,81.35,75.93,76.49,472900,76.49
2014-04-28,79.28,81.63,78.44,79.90,494100,79.90
2014-04-21,78.13,79.83,76.00,79.05,523100,79.05
2014-04-14,79.27,81.14,77.90,78.70,863200,78.70
2014-04-07,76.48,80.53,76.34,77.31,741900,77.31
2014-03-31,75.98,77.60,74.27,76.74,492300,76.74
2014-03-24,78.60,78.73,74.04,75.73,744600,75.73
2014-03-17,83.48,83.94,78.07,79.75,796000,79.75
2014-03-10,81.03,84.18,80.45,83.66,740700,83.66
2014-03-03,82.13,85.48,80.85,81.85,880900,81.35
2014-02-24,80.13,81.89,78.68,79.04,763200,78.55
2014-02-18,80.59,81.76,78.86,80.91,876000,80.41
2014-02-10,74.17,80.40,73.96,79.65,1034800,79.16
2014-02-03,71.80,73.20,70.11,73.01,966900,72.56
2014-01-27,69.50,70.55,67.19,68.90,703300,68.48
2014-01-21,66.94,71.50,66.29,70.11,1001600,69.68
2014-01-13,62.33,65.85,60.89,65.32,713800,64.92
2014-01-06,63.45,63.54,59.19,61.57,872800,61.19
2013-12-30,63.14,65.30,61.56,63.41,842200,63.02
2013-12-23,61.17,63.95,61.03,62.96,551900,62.57
2013-12-16,64.30,65.36,60.90,61.20,903200,60.82
2013-12-09,65.14,68.55,62.86,64.08,886700,63.69
2013-12-02,69.09,69.25,65.31,65.44,858700,65.04
2013-11-25,68.36,71.55,67.52,70.75,711100,70.32
2013-11-18,73.20,74.71,69.65,70.02,755000,69.59
2013-11-11,75.16,75.98,71.72,73.28,1313800,72.83
2013-11-04,73.07,79.33,72.58,76.68,849400,76.21
2013-10-28,77.00,79.77,70.92,71.48,867700,71.04
2013-10-21,71.97,76.94,71.76,76.73,674000,76.26
2013-10-14,69.44,73.02,68.66,71.73,898900,71.29
2013-10-07,69.95,71.45,67.68,68.21,665900,67.79
2013-09-30,71.12,72.12,68.92,69.72,632400,69.29
2013-09-23,73.37,74.54,70.61,71.73,783200,71.29
2013-09-16,71.47,79.94,71.17,73.38,1535700,72.93
2013-09-09,77.99,78.10,69.79,71.54,1016700,71.10
2013-09-03,79.68,80.43,77.40,77.90,682300,77.42
2013-08-26,81.12,84.61,77.43,78.02,997500,77.54
2013-08-19,79.48,81.36,77.26,80.95,813200,80.45
2013-08-12,74.59,81.92,74.19,80.25,1124100,79.76
2013-08-05,71.94,74.55,66.05,73.15,1071600,72.70
2013-07-29,73.71,75.41,70.47,70.58,940400,70.15
2013-07-22,71.80,74.96,70.56,73.31,1144700,72.86
2013-07-15,65.33,70.37,64.22,70.33,1165300,69.90
2013-07-08,61.83,68.00,60.17,66.25,1183300,65.84
2013-07-01,63.82,64.72,60.42,61.88,957500,61.50
2013-06-24,64.07,65.02,60.44,64.00,1410300,63.61
2013-06-17,75.25,75.73,64.52,66.71,1095200,66.30
2013-06-10,77.97,78.52,74.38,75.34,683100,74.88
2013-06-03,78.50,80.50,76.84,77.30,607300,76.83
2013-05-28,74.62,80.49,72.27,78.38,997300,77.90
2013-05-20,71.46,77.86,70.92,73.98,942000,73.53
2013-05-13,78.14,78.33,71.44,71.47,762900,71.03
2013-05-06,79.13,81.53,76.52,78.62,746900,78.14
2013-04-29,81.14,82.23,78.00,78.64,1003100,77.66
2013-04-22,74.03,82.87,73.09,79.95,1192400,78.95
2013-04-15,70.35,72.66,66.51,71.56,1451600,70.67
2013-04-08,81.12,83.85,75.12,75.27,681600,74.33
2013-04-01,85.64,85.69,78.05,81.09,659200,80.08
2013-03-25,85.04,86.66,83.78,85.98,419400,84.91
2013-03-18,83.74,86.40,82.49,85.72,524100,84.65
2013-03-11,81.18,84.05,80.56,82.37,543300,81.34
2013-03-04,81.43,84.62,79.51,80.94,867800,79.93
2013-02-25,82.43,86.58,81.30,81.42,620700,80.40
2013-02-19,85.87,86.35,81.31,81.87,594800,80.85
2013-02-11,92.56,92.56,85.84,85.89,579600,84.82
2013-02-04,99.43,100.78,94.05,94.21,500300,93.03
2013-01-28,94.86,96.35,93.63,95.65,525700,94.45
2013-01-22,92.58,97.64,92.28,94.77,562400,93.59
2013-01-14,94.74,95.12,91.91,92.27,384500,91.12
2013-01-07,94.35,96.89,92.22,95.18,503000,93.99
2012-12-31,96.58,102.02,95.07,95.83,473700,94.63
2012-12-24,99.07,99.68,96.26,96.32,291700,95.12
2012-12-17,100.22,101.23,96.49,99.46,580400,98.22
2012-12-10,103.52,104.14,99.10,99.65,538200,98.40
2012-12-03,107.62,107.86,101.81,102.33,490000,101.05
2012-11-26,105.08,108.16,103.10,107.36,438000,106.02
2012-11-19,104.26,107.82,103.68,107.39,405900,106.05
2012-11-12,110.99,111.01,100.06,101.77,662100,100.50
2012-11-05,117.12,122.29,109.87,112.34,695400,110.94
2012-10-31,117.98,120.05,116.18,116.66,424200,115.20
2012-10-22,120.63,122.86,116.74,117.98,419600,116.51
2012-10-15,122.34,125.60,118.00,120.55,588000,119.04
2012-10-08,124.55,125.95,120.37,121.22,385300,119.71
2012-10-01,123.43,127.27,121.22,124.71,815400,123.15
2012-09-24,120.23,123.79,117.24,123.00,771200,121.46
2012-09-17,121.44,124.80,118.70,123.86,1145700,122.31
2012-09-10,111.82,121.99,108.74,120.34,680300,118.84
2012-09-04,102.10,114.11,100.68,111.47,803000,110.08
2012-08-27,100.64,103.61,97.01,102.97,415500,101.68
2012-08-20,96.72,102.25,96.20,100.71,398200,99.45
2012-08-13,99.00,99.59,95.87,97.50,304800,96.28
2012-08-06,91.48,99.97,91.36,99.41,468500,98.17
2012-07-30,90.50,92.49,86.85,90.63,511300,89.50
2012-07-23,84.13,91.99,82.52,91.35,449000,90.21
2012-07-16,91.00,91.12,85.93,86.19,478900,85.11
2012-07-09,90.72,92.22,87.07,90.41,605000,89.28
2012-07-02,89.89,94.10,89.31,91.21,483900,90.07
2012-06-25,88.22,90.83,86.09,90.01,609100,88.89
2012-06-18,92.60,96.70,88.35,89.44,742600,88.32
2012-06-11,87.34,94.00,86.41,92.70,1048000,91.54
2012-06-04,87.17,93.44,84.93,87.59,977500,86.50
2012-05-29,82.11,87.45,78.16,87.26,842700,86.17
2012-05-21,76.18,81.72,74.62,80.96,747400,79.95
2012-05-14,75.66,77.99,72.91,76.45,941800,75.49
2012-05-07,81.66,82.33,75.81,76.72,653100,75.76
2012-04-30,89.37,89.73,81.13,81.62,655400,80.19
2012-04-23,85.62,92.53,84.04,91.40,544000,89.79
2012-04-16,88.20,89.10,86.06,87.13,513500,85.60
2012-04-09,86.80,90.62,85.00,89.04,1226200,87.47
2012-04-02,85.00,87.50,80.14,81.44,1156100,80.01
2012-03-26,94.15,94.77,85.33,87.98,956100,86.43
2012-03-19,102.53,105.25,85.60,91.32,1987100,89.71
2012-03-12,112.05,112.66,101.26,101.49,1222800,99.71
