Date,NASDAQW,Date,TWIW,,,,,TWIW,NASDAQW
2007/1/3,2434.25,2007/1/2,7835.57,,,,,7835.57,2434.25
2007/1/8,2502.82,2007/1/8,7761.71,,,,,7761.71,2502.82
2007/1/16,2451.31,2007/1/15,7840.08,,,,,7840.08,2451.31
2007/1/22,2435.49,2007/1/22,7821.32,,,,,7821.32,2435.49
2007/1/29,2475.88,2007/1/29,7777.03,,,,,7777.03,2475.88
2007/2/5,2459.82,2007/2/5,7859.53,,,,,7859.53,2459.82
2007/2/12,2496.31,2007/2/12,7809.45,,,,,7809.45,2496.31
2007/2/26,2368,2007/2/26,7670.77,,,,,7670.77,2368
2007/3/5,2387.55,2007/3/5,7568.2,,,,,7568.2,2387.55
2007/3/12,2372.66,2007/3/12,7719.8,,,,,7719.8,2372.66
2007/3/19,2448.93,2007/3/19,7859.32,,,,,7859.32,2448.93
