TWIW	NASDAQW
8118.08	2635.74
7941.44	2691.99
8396.95	2674.46
8221.1	2504.65
8029.31	2439.94
8184.65	2340.02
7739.59	2326.2
7673.99	2413.36
7876.37	2321.8
8108.71	2303.35
8412.76	2271.48
8531.38	2212.49
8161.39	2212.49
8524.99	2258.11
8623.48	2261.18
8596.34	2370.98
8909.58	2290.24
9074.34	2402.97
8947.83	2422.93
8963.63	2476.99
8792.39	2445.52
9197.41	2528.85
8834.73	2444.67
8619.08	2522.66
8745.35	2474.56
8105.59	2454.5
7902.44	2406.09
7548.76	2315.63
7228.41	2245.38
7244.76	2239.08
6815.32	2282.78
7233.62	2310.53
7002.54	2310.96
7209.04	2414.1
7196.5	2452.52
6911.64	2414.71
7046.11	2367.52
6307.28	2255.88
6310.68	2261.27
5970.38	2273.9
5929.63	2183.34
5742.23	1947.39
5130.71	1649.51
4960.4	1711.29
4579.62	1552.03
4870.66	1720.95
4742.33	1647.4
4452.7	1516.85
4171.1	1384.35
4460.49	1535.57
4225.07	1509.31
4481.27	1540.72
4694.52	1564.32
4425.08	1530.24
4591.22	1632.21
4502.74	1571.59
4353.7	1529.33
4247.97	1477.29
4471.25	1591.71
4592.5	1534.36
4436.94	1441.23
4557.15	1377.84
4653.63	1293.85
4897.39	1431.5
4961.62	1457.27
5390.7	1545.2
5529.63	1621.87
5781.96	1652.54
5755.38	1673.07
5880.77	1694.29
5992.57	1719.2
6583.87	1739
6489.09	1680.14
6737.29	1692.01
6890.44	1774.33
6767.1	1849.42
6448.23	1858.8
6231.15	1827.47
6463.56	1838.22
6665.4	1796.52
6769.86	1756.03
6850.99	1886.61
6973.28	1965.96
7077.71	1978.5
6868.65	2000.25
7069.51	1985.52
6654.8	2020.9
6809.86	2028.77
7153.13	2018.78
7337.14	2080.9
7526.55	2132.86
7345.22	2090.92
7411.88	2048.11
7571.96	2139.28
7715.1	2156.8
7649.28	2154.47
7340.08	2045.11
7463.05	2112.44
7665.63	2167.88
7682.97	2146.04
7490.91	2138.44
7650.91	2194.35
7795.07	2190.31
7753.63	2211.69
7972.59	2285.69
8188.11	2269.15
8280.9	2317.17
8356.89	2287.99
7927.31	2205.29
7640.44	2147.35
7217.83	2141.12
7441.84	2183.53
7436.1	2238.26
7666.26	2326.35
7748.33	2367.66
7897.91	2374.41
7876.86	2395.13
8025.93	2402.58
8092.03	2454.05
8111.57	2481.26
8004.89	2530.15
8004.25	2461.19
7567.1	2265.64
7772.13	2346.85
7237.71	2229.04
7295.32	2257.04
7344.59	2219.17
7299.49	2243.6
7493.11	2309.8
7474.71	2223.48
7330.74	2091.79
7647.25	2196.45
7664.57	2179.05
7761.22	2269.47
7760.63	2254.7
7963.3	2288.47
7891.58	2173.48
7927.31	2179.76
7722.91	2153.63
7830.21	2233.75
7890.11	2242.48
8158.33	2315.61
8166.62	2381.22
8244.18	2370.75
8244.19	2401.91
8205.3	2468.77
8168.06	2479.39
8287.09	2507.41
8449.34	2578.98
8316.05	2518.21
8306.12	2518.12
8312.15	2534.56
8624.01	2591.46
8718.83	2637.54
8817.9	2642.97
8861.1	2665.6
8972.5	2652.87
8782.72	2703.17
8972.51	2755.3
8954.38	2689.54
9145.35	2686.89
8609.86	2769.3
8843.84	2833.95
8599.65	2781.05
8784.4	2784.67
8567.82	2715.61
8394.75	2643.67
8610.39	2743.06
8705.13	2789.6
8894.54	2780.42
8718.12	2764.65
8969.43	2820.16
