Date,Open,High,Low,Close,Volume,Adj Close
2014-08-01,4363.39,4580.27,4321.89,4580.27,1655708000,4580.27
2014-07-01,4424.71,4485.93,4351.04,4369.77,1900445000,4369.77
2014-06-02,4247.96,4417.46,4207.61,4408.18,2004641900,4408.18
2014-05-01,4121.25,4252.08,4021.05,4242.62,1961609000,4242.62
2014-04-01,4219.87,4286.09,3946.03,4114.56,2216315200,4114.56
2014-03-03,4261.42,4371.71,4131.81,4198.99,2327953800,4198.99
2014-02-03,4105.06,4342.59,3968.19,4308.12,2241890000,4308.12
2014-01-02,4160.03,4246.55,4044.76,4103.88,2263246600,4103.88
2013-12-02,4065.66,4177.73,3979.59,4176.59,1835258000,4176.59
2013-11-01,3932.45,4069.70,3855.07,4059.89,1833598500,4059.89
2013-10-01,3774.18,3966.71,3650.03,3919.71,1963340800,3919.71
2013-09-03,3622.64,3798.76,3593.62,3771.48,1844675000,3771.48
2013-08-01,3654.18,3694.19,3573.57,3589.87,1557407700,3589.87
2013-07-01,3430.48,3649.35,3415.23,3626.37,1719631800,3626.37
2013-06-03,3460.76,3488.31,3294.95,3403.25,2057933000,3403.25
2013-05-01,3325.35,3532.04,3296.50,3455.91,1868743100,3455.91
2013-04-01,3268.63,3328.79,3154.96,3328.79,1767663600,3328.79
2013-03-01,3143.54,3270.30,3129.40,3267.52,1769299000,3267.52
2013-02-01,3162.94,3213.60,3105.36,3160.19,1988840000,3160.19
2013-01-02,3091.33,3164.06,3076.60,3142.13,1962783800,3142.13
2012-12-03,3029.21,3061.82,2951.04,3019.51,1753986000,3019.51
2012-11-01,2987.54,3033.85,2810.80,3010.24,1861356100,3010.24
2012-10-01,3130.31,3171.46,2961.16,2977.23,1817800000,2977.23
2012-09-04,3063.25,3196.93,3040.24,3116.23,1872861500,3116.23
2012-08-01,2956.72,3100.54,2890.85,3066.96,1613204700,3066.96
2012-07-02,2938.41,2987.94,2837.72,2939.52,1737529500,2939.52
2012-06-01,2810.13,2942.28,2726.68,2935.05,1879992300,2935.05
2012-05-01,3044.79,3085.40,2774.45,2827.34,1922548100,2827.34
