Date,Open,High,Low,Close,Volume,Adj Close
2014-08-25,9393.24,9502.42,9369.24,9436.27,2363100,9436.27
2014-08-18,9222.73,9380.60,9128.66,9380.10,2123600,9380.10
2014-08-11,9109.83,9282.01,9107.21,9206.81,1998800,9206.81
2014-08-04,9280.29,9330.19,9014.89,9085.96,2311800,9085.96
2014-07-28,9415.90,9483.75,9201.83,9266.51,2696000,9266.51
2014-07-21,9453.78,9538.07,9412.48,9439.29,2400000,9439.29
2014-07-14,9497.81,9593.68,9335.38,9400.97,2812900,9400.97
2014-07-07,9497.27,9591.27,9454.67,9495.84,2974100,9495.84
2014-06-30,9332.44,9550.11,9327.89,9510.05,3097600,9510.05
2014-06-23,9293.06,9330.95,9225.73,9306.83,2324600,9306.83
2014-06-16,9196.23,9339.83,9179.56,9273.79,2468200,9273.79
2014-06-09,9153.93,9229.80,9138.93,9196.39,2479200,9196.39
2014-06-03,9106.61,9174.77,9070.45,9134.46,2643500,9134.46
2014-05-26,9040.49,9139.57,9026.77,9075.91,2529600,9075.91
2014-05-19,8901.54,9008.22,8848.53,9008.22,1889900,9008.22
2014-05-12,8893.72,8898.31,8803.43,8888.45,1967800,8888.45
2014-05-05,8895.87,8945.63,8844.45,8889.69,2296700,8889.69
2014-04-28,8680.14,8890.09,8671.65,8867.32,2241200,8867.32
2014-04-21,8961.52,9022.28,8749.51,8774.12,2477000,8774.12
2014-04-14,8897.23,9002.70,8852.66,8966.66,2036600,8966.66
2014-04-07,8844.91,8978.52,8828.59,8908.05,2370100,8908.05
2014-03-31,8802.93,8922.79,8769.97,8888.54,2340000,8888.54
2014-03-24,8540.27,8812.41,8508.01,8774.64,2184600,8774.64
2014-03-17,8697.26,8759.55,8562.57,8577.17,2388900,8577.17
2014-03-10,8706.43,8768.66,8651.54,8687.63,2296400,8687.63
2014-03-03,8627.15,8787.62,8545.24,8713.96,2648300,8713.96
2014-02-24,8603.61,8647.90,8541.65,8639.58,2493500,8639.58
2014-02-17,8537.83,8612.08,8506.06,8601.86,2196900,8601.86
2014-02-10,8416.42,8566.99,8391.95,8513.68,2166600,8513.68
2014-01-27,8519.48,8519.48,8230.46,8387.35,2659800,8387.35
2014-01-20,8595.59,8650.14,8577.14,8598.31,2178200,8598.31
2014-01-13,8587.49,8668.95,8523.46,8596.00,2588600,8596.00
2014-01-06,8553.00,8587.08,8488.64,8529.35,2999000,8529.35
2013-12-30,8552.13,8647.24,8537.86,8546.54,2440800,8546.54
2013-12-23,8441.16,8543.50,8441.16,8535.04,1828200,8535.04
2013-12-16,8368.83,8439.37,8313.87,8408.53,1875400,8408.53
2013-12-09,8439.76,8501.77,8346.83,8376.94,1885400,8376.94
2013-12-02,8429.24,8437.60,8361.99,8367.72,1921900,8367.72
2013-11-25,8182.90,8414.79,8182.90,8406.83,2235300,8406.83
2013-11-18,8201.85,8262.91,8093.82,8116.78,1807600,8116.78
2013-11-11,8228.90,8242.41,8100.73,8177.12,1972900,8177.12
2013-11-04,8371.83,8372.80,8216.33,8229.59,2123700,8229.59
2013-10-28,8365.43,8476.63,8348.42,8388.18,2000200,8388.18
2013-10-21,8456.68,8459.30,8322.15,8346.62,1892900,8346.62
2013-10-14,8339.99,8441.19,8269.16,8441.19,2232300,8441.19
2013-10-07,8354.91,8433.53,8311.59,8349.37,2645600,8349.37
2013-09-30,8174.86,8376.79,8137.11,8364.55,2435500,8364.55
2013-09-23,8226.80,8310.94,8184.68,8230.68,2207700,8230.68
2013-09-16,8189.61,8263.05,8189.61,8209.18,1793500,8209.18
2013-09-09,8176.47,8238.91,8117.87,8168.20,2097700,8168.20
2013-09-02,8010.15,8182.56,7993.13,8164.20,2157200,8164.20
2013-08-26,7906.52,8021.89,7761.76,8021.89,1784900,8021.89
2013-08-19,7937.45,7944.74,7737.33,7873.31,2014500,7873.31
2013-08-12,7878.22,7986.27,7850.27,7925.00,1958500,7925.00
2013-08-05,8104.20,8143.44,7853.97,7856.14,2002800,7856.14
2013-07-29,8146.14,8176.74,8056.22,8099.88,1944500,8099.88
2013-07-22,8092.03,8233.10,8092.03,8149.40,2128800,8149.40
2013-07-15,8178.26,8265.70,8046.70,8062.03,2470700,8062.03
2013-07-08,7980.11,8220.49,7885.00,8220.49,2152700,8220.49
2013-07-01,8011.95,8064.12,7877.06,8001.82,2001700,8001.82
